Selected_Features
MaxAbsEStateIndex
qed
MinPartialCharge
BCUT2D_MWHI
BCUT2D_MWLOW
BCUT2D_LOGPLOW
BCUT2D_MRLOW
AvgIpc
PEOE_VSA10
PEOE_VSA13
PEOE_VSA14
PEOE_VSA7
PEOE_VSA8
PEOE_VSA9
SMR_VSA10
SMR_VSA3
SMR_VSA6
SlogP_VSA4
SlogP_VSA7
SlogP_VSA8
EState_VSA8
EState_VSA9
VSA_EState7
NHOHCount
NumAliphaticRings
NumAromaticCarbocycles
NumAromaticRings
NumHeteroatoms
MolLogP
fr_Al_COO
fr_C_S
fr_NH0
fr_Ndealkylation2
fr_aniline
fr_aryl_methyl
fr_azo
fr_bicyclic
fr_methoxy
fr_nitro
fr_quatN
fr_sulfonamd
fr_unbrch_alkane
