SMILES,Agonist_Activity,SMILES_raw
CCCCCCCCCCCCCC(=O)O,inactive,CCCCCCCCCCCCCC(=O)O
C=C(C)[C@H]1C=CC(C)C(=O)C1,inactive,CC1=CC[C@@H](CC1=O)C(=C)C
OC[C@H](O)c1oc(O)c(O)c1O,inactive,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O,inactive,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O
COc1ccc(C(C)=O)c(O)c1,inactive,CC(=O)C1=C(C=C(C=C1)OC)O
CCCCCCCCCC(=O)O,inactive,CCCCCCCCCC(=O)O
Oc1cccc(O)c1O,inactive,C1=CC(=C(C(=C1)O)O)O
CCCCCCCCCCCC(=O)OCC(O)CO,inactive,CCCCCCCCCCCC(=O)OCC(CO)O
OCC=Cc1ccccc1,inactive,C1=CC=C(C=C1)C=CCO
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,inactive,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C
O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,inactive,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O
C[N+](C)(C)CCO,inactive,C[N+](C)(C)CCO.[Cl-]
O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@H]3OC(CO)C(O)C(O)C3O)cc(O)c12,inactive,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@@H]4C(C(C(C(O4)CO)O)O)O)O)O
COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,inactive,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,inactive,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O,inactive,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O
C=C(C)[C@H]1CC=C(CO)CC1,inactive,CC(=C)[C@@H]1CCC(=CC1)CO
CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,inactive,CCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O
OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,inactive,C1=CO[C@H]([C@H]2[C@@H]1[C@@H](C=C2CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)ccc12,inactive,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,inactive,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
C=CC(C)(CCC=C(C)C)OC(C)=O,inactive,CC(=CCCC(C)(C=C)OC(=O)C)C
O=C(O)c1ccccc1O,inactive,C1=CC=C(C(=C1)C(=O)O)O
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,inactive,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
