Step,Description,Entries_before,Entries_after,Removed,Removed_%
1,Activity filtering,9667,8168,1499,15.51
2,SMILES parsing,8168,8052,116,1.42
3,Filtering non-organic molecules,8052,7952,100,1.24
4,Structural standardization,7952,7952,0,0.0
5,Canonical SMILES generation,7952,7952,0,0.0
6,Deduplication by standardized SMILES,7952,6260,1692,21.28
7,Summary,9667,6260,3407,35.24
