SMILES,Agonist_Activity,SMILES_raw
C(=N/OCc1ccc(Oc2ccccc2)cc1)\c1c(-c2ccc3ccccc3c2)nc2occn12,inactive,C1=CC=C(C=C1)OC2=CC=C(C=C2)CO/N=C/C3=C(N=C4N3C=CO4)C5=CC6=CC=CC=C6C=C5
COCc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,COCC1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
CN(C)C(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CN(C)C(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
OCc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)CO)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cn(CCc3ccc(Cl)c(Cl)c3)nn2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CCC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cccn2Cc2ccc(Cl)c(Cl)c2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CC=CN3CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
CNC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,active,CNC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl
Clc1ccc(-c2nc3ccccn3c2-c2cc(Cc3ccc(Cl)c(Cl)c3)no2)cc1,active,C1=CC2=NC(=C(N2C=C1)C3=CC(=NO3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl
Clc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1,active,C1=CC(=CC=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)Cl
COc1ccc(-c2nc3ccccn3c2-c2cn(Cc3ccc(Cl)c(Cl)c3)nn2)cc1,active,COC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl
