CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
34757.0,Cc1cc2nc(N)sc2cc1C,active,2.274494507,43.434707,inactive,,0.0,CC1=CC2=C(C=C1C)SC(=N2)N
80434.0,Nc1ccc(Oc2ccc(N)c(N)c2)cc1,active,2.433651621,42.82697773,inconclusive antagonist,57.711,-37.303,C1=CC(=CC=C1N)OC2=CC(=C(C=C2)N)N
91741.0,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,active,2.433651621,26.02414267,inactive,,0.0,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F
13089.0,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,active,2.439458168,49.38721257,inactive,,0.0,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
69779.0,O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1,active,2.477646898,47.10495923,inactive,,0.0,C1=CC=C(C=C1)OC(=O)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3
17204.0,CCN(CC)c1ccc(N=Nc2ccccc2)cc1,active,2.528861679,51.3106114,active antagonist,37.1186,-56.7956,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2
638024.0,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,active,2.534005998,41.28879243,inactive,,0.0,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3
14652.0,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,active,2.560161774,42.37679193,inactive,,0.0,CS(=O)(=O)C1=CC=C(C=C1)C2=CN3C=CC=CC3=N2
671.0,O=C(O)c1cc(O)c2ccccc2c1O,active,2.73060203,32.45932986,active antagonist,20.8733,-101.677,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O
81259.0,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,active,2.736156738,20.0499243,active antagonist,61.2549,-68.7431,CC(C)CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
18386.0,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,active,2.984929481,82.28809428,inconclusive antagonist,,,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)C
53388.0,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1,active,2.984929481,48.47470923,active antagonist,29.8493,-99.509,C[C@@H]1CN(C[C@@H](N1)C)CCCN2C3=CC=CC=C3C4=CC=CC=C42.Cl.Cl
5280378.0,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,active,3.063785869,56.82251283,inactive,,0.0,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
5934.0,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,active,3.116316813,43.58169035,inconclusive antagonist,49.3903,-66.0817,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C
10891.0,Cc1ccc(N)cc1,active,3.203083745,58.76207132,inactive,,0.0,CC1=CC=C(C=C1)N.Cl
5281575.0,COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1,active,3.2583757,26.97500326,inactive,,0.0,COC1=CC=C(C=C1)/C=C/C2=CC(=CC(=O)O2)OC
7115.0,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,active,3.273673911,45.97157068,inactive,,0.0,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3
28531.0,Nc1c(Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O,active,3.616324626,46.60345635,inactive,,0.0,C1=CC=C(C=C1)OC2=C(C3=C(C(=C2)O)C(=O)C4=CC=CC=C4C3=O)N
243274.0,CCOC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,active,3.616324626,32.93608268,inactive,,0.0,CCOC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N
