Selected_Features
MinAbsEStateIndex
qed
FpDensityMorgan1
BCUT2D_CHGHI
BCUT2D_LOGPLOW
BalabanJ
BertzCT
HallKierAlpha
PEOE_VSA12
PEOE_VSA14
PEOE_VSA2
PEOE_VSA4
SMR_VSA10
SMR_VSA5
SMR_VSA6
SlogP_VSA11
SlogP_VSA2
SlogP_VSA5
EState_VSA11
EState_VSA3
VSA_EState2
VSA_EState4
NumAliphaticCarbocycles
NumAliphaticHeterocycles
NumAmideBonds
NumAromaticCarbocycles
fr_Al_OH
fr_Ar_NH
fr_Ar_OH
fr_Imine
fr_NH2
fr_alkyl_halide
fr_allylic_oxid
fr_epoxide
fr_ester
fr_hdrzine
fr_imide
fr_ketone
fr_nitro_arom_nonortho
fr_para_hydroxylation
fr_piperdine
fr_sulfonamd
