Iteration,MCC
1,0.029235413723777127
2,0.047063589828499404
3,-0.01503553924854055
4,-0.058311932280397716
5,-0.005284620762882288
6,-0.036895652626677954
7,-0.01994856755751594
8,-0.05261623480651229
9,0.07981853477375646
10,-0.024955219385223593
11,0.016073857197569
12,0.03400352790826673
13,0.08571760676225874
14,0.01804423220781378
15,-0.03344454112704966
16,-0.05980348526347856
17,-0.012078369364323792
18,-0.03759128436901225
19,-0.06408598395912155
20,-0.047962567429293806
