Selected_Features
qed
MinPartialCharge
FpDensityMorgan1
BCUT2D_MWLOW
BCUT2D_LOGPLOW
BCUT2D_MRLOW
AvgIpc
PEOE_VSA10
PEOE_VSA12
PEOE_VSA3
SMR_VSA1
SMR_VSA4
SMR_VSA5
SlogP_VSA10
SlogP_VSA4
EState_VSA3
EState_VSA8
EState_VSA9
VSA_EState10
VSA_EState3
VSA_EState4
VSA_EState7
NumAliphaticRings
NumAromaticCarbocycles
NumAromaticHeterocycles
NumHeteroatoms
NumHeterocycles
MolLogP
fr_ArN
fr_Ar_OH
fr_COO
fr_HOCCN
fr_NH1
fr_NH2
fr_N_O
fr_Ndealkylation1
fr_Ndealkylation2
fr_SH
fr_ester
fr_halogen
fr_hdrzine
fr_methoxy
fr_piperzine
