Structure,Molecule name,CAS,SMILES,ID_base,,ID_asignado,ID_concatenado,DB source,DB soubsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Mode of action,Data Base source reference
,Thymol,,CC1=CC(=C(C=C1)C(C)C)O,1889,,#¡REF!,273_PPDB,PPDB,,acute,,rat,oral,=,980,mg/kg,150.22,0.0065,2.1855,"Contact, GABAergic activity and also repels vertebrate pests by a non-toxic mode of action but is toxic to micro-organisms",
,Terpinen-4-ol,,CC1=CCC(CC1)(C(C)C)O,2012,,#¡REF!,278_PPDB,PPDB,,acute,,rat,oral,=,1300,mg/kg,154.252,0.0084,2.0743,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Gamma-terpinene,,CC1=CCC(=CC1)C(C)C,2013,,#¡REF!,279_PPDB,PPDB,,acute,,rat,oral,=,3650,mg/kg,136.237,0.0268,1.5720,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Alpha-terpinene,,CC1=CC=C(CC1)C(C)C,2014,,#¡REF!,280_PPDB,PPDB,,acute,,rat,oral,=,1680,mg/kg,136.237,0.0123,1.9090,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Alpha-terpineol,,CC1=CCC(CC1)C(C)(C)O,2015,,#¡REF!,281_PPDB,PPDB,,acute,,rat,oral,=,5170,mg/kg,154.252,0.0335,1.4747,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Alpha-terpinoline,,CC1=CCC(=C(C)C)CC1,2016,,#¡REF!,282_PPDB,PPDB,,acute,,rat,oral,=,4390,mg/kg,136.237,0.0322,1.4918,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Alpha-pinene,,CC1=CCC2CC1C2(C)C,2017,,#¡REF!,283_PPDB,PPDB,,acute,,rat,oral,=,3700,mg/kg,136.237,0.0272,1.5661,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Para-cymene,,CC1=CC=C(C=C1)C(C)C,2018,,#¡REF!,284_PPDB,PPDB,,acute,,rat,oral,=,4750,mg/kg,134.221,0.0354,1.4511,"Tea tree oil appears to disrupt the permeability barrier of microbial cell membrane structures, causing loss of chemiosmotic control.",
,Boric acid,,B(O)(O)O,2136,,#¡REF!,287_PPDB,PPDB,,acute,,rat,oral,=,2660,mg/kg,61.8318,0.0430,1.3663,Stomach poison. Antifeed for insects distrupting insect enzyme & digestive systems. Multi-site activity.,
,Phenylmercuric acetate,,CC(=O)O[Hg]C1=CC=CC=C1,2142,,#¡REF!,288_PPDB,PPDB,,acute,,rat,oral,=,70,mg/kg,336.74,0.0002,3.6822,An antitranspirant,
,Borax,,B(=O)OB([O-])OB([O-])OB=O.O.O.O.O.O.O.O.O.O.O.[Na+].[Na+],2143,,#¡REF!,289_PPDB,PPDB,,acute,,rat,oral,=,2660,mg/kg,381.366,0.0070,2.1565,Stomach poison for insects. Multi-site activity.,
,Sodium tetraborate pentahydrate,,B(O)(O)O.O.O.O.O.O.[Na+],2144,,#¡REF!,290_PPDB,PPDB,,acute,,rat,oral,=,2660,mg/kg,174.896,0.0152,1.8179,Stomach poison for insects. Multi-site activity.,
,Kasugamycin,,CC1C(CC(C(O1)OC2C(C(C(C(C2O)O)O)O)O)N)N=C(C(=O)O)N,2195,,#¡REF!,292_PPDB,PPDB,,acute,,rat,oral,=,21000,mg/kg,379.365,0.0554,1.2568,"Contact action resulting in the inhibition of protein biosynthesis reducing bacterial growth and reproduction (bacteriostatic), rather than killing the bacteria directly.",
,Metam-potassium,,CNC(=S)[S-].[K+],2394,,#¡REF!,294_PPDB,PPDB,,acute,,rat,oral,=,630,mg/kg,145.291,0.0043,2.3629,"Soil fumigant, binds to oxygen carrying molecules and prevents tissues from using oxygen. Multi-site activity.",
,Inezin,,CCOP(=O)(C1=CC=CC=C1)SCC2=CC=CC=C2,2431,,#¡REF!,296_PPDB,PPDB,,acute,,rat,oral,=,720,mg/kg,292.338,0.0025,2.6086,Acetylcholinesterase (AChE) inhibitor.,
,Fenapanil,,CCCCC(CN1C=CN=C1)(C#N)C2=CC=CC=C2,2432,,#¡REF!,297_PPDB,PPDB,,acute,,rat,oral,=,1590,mg/kg,253.348,0.0063,2.2023,Systemic translocation,
,Furyloxyfen,,C1COCC1OC2=C(C=CC(=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)[N+](=O)[O-],2434,,#¡REF!,298_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,403.739,#¡VALOR!,#¡VALOR!,Protoporphyrinogen inhibitor.,
,Chloraniformethan (Ref: BAY 79770 ),,C1=CC(=C(C=C1NC(C(Cl)(Cl)Cl)NC=O)Cl)Cl,2448,,#¡REF!,299_PPDB,PPDB,,acute,,rat,oral,=,2500,mg/kg,336.433,0.0074,2.1290,Curative action,
,Climbazole (Ref: 106162),,CC(C)(C)C(=O)C(N1C=CN=C1)OC2=CC=C(C=C2)Cl,2454,,#¡REF!,300_PPDB,PPDB,,acute,,rat,oral,=,400,mg/kg,292.765,0.0014,2.8645,Systemic with protective and curative action. Sterol demethylation inhibitor.,
,Hexylthiofos,,CCOP(=O)(OC1CCCCC1)SCC,2455,,#¡REF!,301_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,252.314,#¡VALOR!,#¡VALOR!,Acetylcholinesterase (AChE) inhibitor.,
,Difenzoquat metilsulfate (Ref: AC 84777),,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3.COS(=O)(=O)[O-],2515,,#¡REF!,305_PPDB,PPDB,,acute,,rat,oral,=,373,mg/kg,360.433,0.0010,2.9851,"Selective, absorbed by foliage. Acts via the rapid destruction of cell membranes.",
,Fenitropan (Ref: EGYT 2248),,CC(=O)OCC(C(C1=CC=CC=C1)OC(=O)C)[N+](=O)[O-],2558,,#¡REF!,307_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,281.263,#¡VALOR!,#¡VALOR!,Thought to inhibit bacteria RNA synthesis. Contact action.,
,Diclocymet (Ref: S-2900),,CC(C1=C(C=C(C=C1)Cl)Cl)NC(=O)C(C#N)C(C)(C)C,2559,,#¡REF!,308_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,313.227,#¡VALOR!,#¡VALOR!,Systemic and long lasting action. Inhibits melanin biosynthesis.,
,Dinocton,,CC(C)CCCCCC1=CC(=CC(=C1OC(=O)OC)[N+](=O)[O-])[N+](=O)[O-],2573,,#¡REF!,311_PPDB,PPDB,,acute,,rat,oral,=,1695,mg/kg,354.358,0.0048,2.3203,Contact with protective and curative action. Respiration inhibitor. Uncoupler of oxidative phosphorylation via disruption of proton gradient.,
,Dinopenton,,CCCC(C)C1=CC(=CC(=C1OC(=O)OC(C)C)[N+](=O)[O-])[N+](=O)[O-],2574,,#¡REF!,312_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,340.331,#¡VALOR!,#¡VALOR!,Contact with protective and curative action. Respiration inhibitor. Uncoupler of oxidative phosphorylation via disruption of proton gradient.,
,Dinosulfon (Ref: MC 1143),,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)SC)[N+](=O)[O-])[N+](=O)[O-],2575,,#¡REF!,313_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,370.425,#¡VALOR!,#¡VALOR!,Contact with protective and curative action. Respiration inhibitor. Uncoupler of oxidative phosphorylation via disruption of proton gradient.,
,Tributyltin oxide (Ref: ENT 24979),,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,2585,,#¡REF!,314_PPDB,PPDB,,acute,,rat,oral,=,55,mg/kg,596.112,0.0001,4.0350,"Broad spectrum, non-systemic, phytotoxic; A metabolic inhibitor with contact and stomach action.",
,,,-,2590,,#¡REF!,315_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,Sterol C14 biosynthesis (demethylase) inhibitor. Thought to inhibit the biosynthesis of ergosterol at the 14a-demethylation step.,
,Coumoxystrobin (Ref: SYP 3375),,CCCCC1=C(C2=C(C=C(C=C2)OCC3=CC=CC=C3C(=COC)C(=O)OC)OC1=O)C,2612,,#¡REF!,317_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,436.502,#¡VALOR!,#¡VALOR!,"Broad-spectrum. Protective, induces antimicrobial enzyme synthesis. Respiration inhibitor (QoL fungicide).",
,Flufenoxystrobin (Ref: SYP 3759),,COC=C(C1=CC=CC=C1COC2=C(C=C(C=C2)C(F)(F)F)Cl)C(=O)OC,2613,,#¡REF!,318_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,400.779,#¡VALOR!,#¡VALOR!,"Broad-spectrum. Protective, induces antimicrobial enzyme synthesis. Respiration inhibitor - Quinone Outside Inhibitor (QoI).",
,Fenaminstrobin (Ref: SYP 1620),,CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)NC)C=CC2=C(C=CC=C2Cl)Cl,2614,,#¡REF!,319_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,434.322,#¡VALOR!,#¡VALOR!,Broad-spectrum. Respiration inhibitor- Quinone Outside Inhibitor (QoI).,
,Triclopyricarb (Ref: SYP 7017),,COC(=O)N(C1=CC=CC=C1COC2=NC(=C(C=C2Cl)Cl)Cl)OC,2615,,#¡REF!,320_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,391.637,#¡VALOR!,#¡VALOR!,Broad spectrum. Respiration inhibitor - Quinone Outside Inhibitor (QoI).,
,Pyrisoxazole (Ref: SYP 48),,CC1(CC(ON1C)C2=CC=C(C=C2)Cl)C3=CN=CC=C3,2616,,#¡REF!,321_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,288.777,#¡VALOR!,#¡VALOR!,Sterol biosynthesis inhibitor,
,Benzovindiflupyr,,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC3=C2C4CCC3C4=C(Cl)Cl,2621,,#¡REF!,323_PPDB,PPDB,,acute,,rat,oral,=,55,mg/kg,398.239,0.0001,3.8598,Inhibits mitochondrial functions - Succinate Dehydrogenase Inhibitor (SDHI),
,Coumethoxystrobin,,CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=CC=CC=C3C(=COC)C(=O)OC)C,2626,,#¡REF!,324_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,394.422,#¡VALOR!,#¡VALOR!,Respiration inhibitor (QoL fungicide).,
,Chlobenthiazone (Ref: S1901),,CN1C2=C(C=CC=C2Cl)SC1=O,2647,,#¡REF!,327_PPDB,PPDB,,acute,,rat,oral,=,1940,mg/kg,199.661,0.0097,2.0125,"Systemic, inhibits infection sites, strong inhibitor of aflatoxin synthesis by A. flavus",
,Picarbutrazox (Ref: NF-171),,CC(C)(C)OC(=O)NC1=CC=CC(=N1)CON=C(C2=CC=CC=C2)C3=NN=NN3C,2667,,#¡REF!,328_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,409.449,#¡VALOR!,#¡VALOR!,-,
,Benzamacril,,CN(CC1=CC=CC=C1)C=C(C#N)C(=O)O,2707,,#¡REF!,329_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,216.239,#¡VALOR!,#¡VALOR!,-,
,Benzamacril isobutyl,,CC(C)COC(=O)C(=CN(C)CC1=CC=CC=C1)C#N,2708,,#¡REF!,330_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,272.347,#¡VALOR!,#¡VALOR!,-,
,Benzamorf (Ref: BAS 276F),,CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)O.C1COCCN1,2709,,#¡REF!,331_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,413.621,#¡VALOR!,#¡VALOR!,Lipophilic,
,Bethoxazin (Ref: R 102622),,C1CS(=O)C(=NO1)C2=CC3=CC=CC=C3S2,2712,,#¡REF!,332_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,251.329,#¡VALOR!,#¡VALOR!,-,
,Bis(methylmercury) sulphate (Ref: B4992),,C[Hg]OS(=O)(=O)O[Hg]C,2716,,#¡REF!,333_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,527.312,#¡VALOR!,#¡VALOR!,-,
,Carbamorph (Ref: MC 833),,CN(C)C(=S)SCN1CCOCC1,2722,,#¡REF!,335_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,220.36,#¡VALOR!,#¡VALOR!,-,
,"N-(3-chloro-2,6-dimethylphenyl)-2-methoxy-N-(tetrahydr-2-oxo-3-furanyl)acetamide (Ref: CGA 80000)",,COCC(=O)N(C1CCOC1=O)c2c(C)ccc(Cl)c2C,2726,,#¡REF!,336_PPDB,PPDB,,acute,,rat,oral,=,808,mg/kg,311.764,0.0026,2.5864,Systemic,
,Chlorfenazole (Ref: CUR 616),,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3N2)Cl,2731,,#¡REF!,337_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,228.681,#¡VALOR!,#¡VALOR!,Broad spectrum,
,Copper bis(3-phenylsalicylate),,C1=CC=C(C=C1)C2=C(C(=CC=C2)C(=O)[O-])[O-].[Cu+2],2741,,#¡REF!,339_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,275.75,#¡VALOR!,#¡VALOR!,Absorbed copper disrupts the enzyme systems of pathogens. Multi-site activity.,
,Dehydroacetic acid,,CC1=CC(=C(C(=O)O1)C(=O)C)O,2754,,#¡REF!,341_PPDB,PPDB,,acute,,rat,oral,=,1000,mg/kg,168.148,0.0059,2.2257,-,
,Diammonium ethylenebis (dithiocarbamate),,C(CNC(=S)[S-])NC(=S)[S-].[NH4+].[NH4+],2758,,#¡REF!,342_PPDB,PPDB,,acute,,rat,oral,=,395,mg/kg,246.447,0.0016,2.7951,"Non-specific, inhibts respiration.",
,Dipyrithione (Ref: OSY-20),,C1=CC=[N+](C(=C1)SSC2=CC=CC=[N+]2[O-])[O-],2764,,#¡REF!,343_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,252.318,#¡VALOR!,#¡VALOR!,Inhibits the LPS-induced up-regulation of nitric oxide synthase (iNOS) and cyclooxygenase-2 (COX-2) protein level in RAW264.7 cells.,
,Drazoxolon (Ref: PP781),,CC1=NOC(=O)C1=NNC2=CC=CC=C2Cl,2770,,#¡REF!,344_PPDB,PPDB,,acute,,rat,oral,=,126,mg/kg,237.646,0.0005,3.2756,Protective and curative action.,
,Furconazole (Ref: LS 840608),,C1CC(OC1OCC(F)(F)F)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,2783,,#¡REF!,346_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,396.195,#¡VALOR!,#¡VALOR!,Sterol demethlyation inhibitor. Systemic with both protective and curative action,
,Gliotoxin (Ref: SN 12879),,CN1C(=O)C23CC4=CC=CC(C4N2C(=O)C1(SS3)CO)O,2793,,#¡REF!,348_PPDB,PPDB,,acute,,rat,oral,=,67,mg/kg,326.396,0.0002,3.6877,"Various mechanisms including inhibition of chymotrypsin-like activity of the 20S proteasome, Ca2+ release from mitochondria and activation of transcription factor NF-kB in response to a variety of stimuli in T and B cells. Proteasome inhibitor.",
,Glyodin,,CCCCCCCCCCCCCCCCCC1=NCC[NH2+]1.CC(=O)[O-],2794,,#¡REF!,349_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,368.603,#¡VALOR!,#¡VALOR!,Protective action,
,Mercuric oxide,,O=[Hg],2819,,#¡REF!,354_PPDB,PPDB,,acute,,rat,oral,=,18,mg/kg,216.589,0.0001,4.0804,"Broad spectrum, strong toxin to most living organism",
,,,Cl2Hg2,2820,,#¡REF!,355_PPDB,PPDB,,acute,,rat,oral,=,210,mg/kg,,#¡DIV/0!,#¡DIV/0!,"Broad spectrum, strong toxin to most living organism",
,2-methoxyethylmercury acetate,,CC(=O)O[Hg]CCOC,2824,,#¡REF!,357_PPDB,PPDB,,acute,,rat,oral,=,25,mg/kg,318.721,0.0001,4.1055,Toxic to most living organisms,
,Methylarsenic sulphide,,C[As]=S,2826,,#¡REF!,358_PPDB,PPDB,,acute,,rat,oral,=,100,mg/kg,122.023,0.0008,3.0864,Toxic to most living organisims,
,Phenylmercury nitrate,,C1=CC=C(C=C1)[Hg]O[N+](=O)[O-],2839,,#¡REF!,361_PPDB,PPDB,,acute,,rat,oral,=,27,mg/kg,339.7,0.0001,4.0997,Toxic to most living organisms,
,Triamiphos (Ref: WP 155),,CN(C)P(=O)(N1C(=NC(=N1)C2=CC=CC=C2)N)N(C)C,2858,,#¡REF!,366_PPDB,PPDB,,acute,,rat,oral,=,10,mg/kg,294.298,0.0000,4.4688,Cholinesterase inhibitor,
,Sodium hydrogen carbonate,,C(=O)(O)[O-].[Na+],2873,,#¡REF!,368_PPDB,PPDB,,acute,,rat,oral,=,4220,mg/kg,84.0059,0.0502,1.2990,"Broad spectrum, contact activity, rapid effect. Preventative with a slight curative activity",
,Sodium arsenite,,[O-][As]=O.[Na+],2877,,#¡REF!,369_PPDB,PPDB,,acute,,rat,oral,=,10,mg/kg,129.91,0.0001,4.1136,Acts via enzyme inhibition,
,Dimethyl disulfide,,CSSC,2886,,#¡REF!,370_PPDB,PPDB,,acute,,rat,oral,=,190,mg/kg,94.2016,0.0020,2.6953,As an insecticide dimethyl disulfide works by causing mitochodrial dysfunction. Broad-spectrum fungicide.,
,Bithionol,,C1=C(C=C(C(=C1Cl)O)SC2=CC(=CC(=C2O)Cl)Cl)Cl,2889,,#¡REF!,371_PPDB,PPDB,,acute,,rat,oral,=,7,mg/kg,356.056,0.0000,4.7064,An uncoupler of oxidative phosphorylation,
,Debacarb,,CCOCCOCCOC(=O)NC1=NC2=CC=CC=C2N1,2890,,#¡REF!,372_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,293.322,#¡VALOR!,#¡VALOR!,"Inhibition of deoxyribonucleic acid (DNA) synthesis. Cholinesterase inhibitor. Translocates to fruit, seeds, foliage and pollen",
,Decafentin (Ref: CELA A-36),,CCCCCCCCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)[Sn+](C2=CC=CC=C2)C3=CC=CC=C3.[Cl-].[Br-],2891,,#¡REF!,373_PPDB,PPDB,,acute,,rat,oral,=,550,mg/kg,868.952,0.0006,3.1986,-,
,Ethylmercury bromide,,C[CH2].[Br-].[Hg+],2892,,#¡REF!,374_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,309.556,#¡VALOR!,#¡VALOR!,-,
,Mecarbinzid,,COC(=O)NC1=NC2=CC=CC=C2N1C(=O)NCCSC,2904,,#¡REF!,376_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,308.361,#¡VALOR!,#¡VALOR!,"Systemic, disturbs cell division and cell cycle mechanisms.",
,Methylene bisthiocyanate,,C(SC#N)SC#N,2905,,#¡REF!,377_PPDB,PPDB,,acute,,rat,oral,=,81.4,mg/kg,130.195,0.0006,3.2040,-,
,Probenazole,,C=CCOC1=NS(=O)(=O)C2=CC=CC=C21,2928,,#¡REF!,381_PPDB,PPDB,,acute,,rat,oral,=,2030,mg/kg,223.251,0.0091,2.0413,Induces systemic acquired resistence - plant defense activator,
,Oxine-copper,,C1=CC2=C(C(=C1)[O-])N=CC=C2.C1=CC2=C(C(=C1)[O-])N=CC=C2.[Cu+2],2930,,#¡REF!,383_PPDB,PPDB,,acute,,rat,oral,=,300,mg/kg,351.851,0.0009,3.0692,Absorbed copper disrupts the enzyme systems of pathogens. Multi-site activity.,
,,,-,2988,,#¡REF!,385_PPDB,PPDB,,acute,,rat,oral,=,140,mg/kg,,#¡DIV/0!,#¡DIV/0!,Multi-action,
,2-methoxyethylmercury chloride (Ref: LS 685),,COC[CH2].[Cl-].[Hg+],2990,,#¡REF!,386_PPDB,PPDB,,acute,,rat,oral,=,30,mg/kg,295.131,0.0001,3.9929,Acts by reacting with the sulfydryl group in fungal pathogens and inhibits growth,
,Thioquinox (Ref: BAY 30686),,C1=CC=C2C(=C1)N=C3C(=N2)SC(=S)S3,2999,,#¡REF!,388_PPDB,PPDB,,acute,,rat,oral,=,3400,mg/kg,236.343,0.0144,1.8421,Binds with amino and mercapto groups resulting in the inhibition of various enzymes,
,Dimetachlone (Ref: S-47127),,C1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,3023,,#¡REF!,389_PPDB,PPDB,,acute,,rat,oral,=,750,mg/kg,244.077,0.0031,2.5125,"Limited systemic activity, mainly stomach but some contact action. Uncoupler of oxidative phosphorylation.",
,Seboctylamine,,CCCCCCCCNCCNCCNCCCCCCCC,3024,,#¡REF!,390_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,327.598,#¡VALOR!,#¡VALOR!,-,
,Ethylicin,,CCSS(=O)(=O)CC,3029,,#¡REF!,391_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,154.253,#¡VALOR!,#¡VALOR!,Broad spectrum activity,
,Pyrimorph,,CC(C)(C)C1=CC=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC(=NC=C3)Cl,3033,,#¡REF!,392_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,384.905,#¡VALOR!,#¡VALOR!,"Multiple modes of action including the inhibition of mycelial growth, sporangium production and zoospore release",
,Propamidine,,C1=CC(=CC=C1C(=N)N)OCCCOC2=CC=C(C=C2)C(=N)N,3037,,#¡REF!,393_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,312.372,#¡VALOR!,#¡VALOR!,Curative and protectant activity,
,2-allyphenol,,C=CCC1=CC=CC=C1O,3038,,#¡REF!,394_PPDB,PPDB,,acute,,rat,oral,=,205,mg/kg,134.177,0.0015,2.8159,Inhibits the fungal pathogen by inhibiting respriation,
,,,-,3050,,#¡REF!,395_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Systemic with curative and protective action, works via the demethylation of C-14 during ergosterol biosynthesis",
,,,-,3051,,#¡REF!,396_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Systemic with curative and protective action, works via the demethylation of C-14 during ergosterol biosynthesis",
,Thiomersal,,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+],3062,,#¡REF!,398_PPDB,PPDB,,acute,,rat,oral,=,91,mg/kg,404.814,0.0002,3.6482,-,
,Pyribencarb,,CC1=NC(=CC=C1)CON=C(C)C2=CC(=C(C=C2)Cl)CNC(=O)OC,3072,,#¡REF!,399_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,361.828,#¡VALOR!,#¡VALOR!,Preventative and curative effects. Affects the electron transport system of the respiratory chain,
,Tolprocarb,,CC1=CC=C(C=C1)C(=O)NCC(C(C)C)NC(=O)OCC(F)(F)F,3080,,#¡REF!,401_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,346.348,#¡VALOR!,#¡VALOR!,"Systemic, Polyketide Synthase Enzyme (PKS) Inhibitor, blocks melanin biosynthesis in the pathogen",
,Pyraziflumid (Ref: NNF-0721),,C1=CC=C(C(=C1)C2=CC(=C(C=C2)F)F)NC(=O)C3=NC=CN=C3C(F)(F)F,3087,,#¡REF!,403_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,379.287,#¡VALOR!,#¡VALOR!,Succinate Dehydrogenase Inhibitor (SDHI),
,Dipymetitrone (Ref: BCS-BB98685),,CN1C(=O)C2=C(C1=O)SC3=C(S2)C(=O)N(C3=O)C,3088,,#¡REF!,404_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,282.3,#¡VALOR!,#¡VALOR!,Succinate dehydrogenase inhibitor,
,Quinofumelin (Ref: ARK-3010),,CC1(C(C2=CC=CC=C2C(=N1)C3=CC4=CC=CC=C4N=C3)(F)F)C,3094,,#¡REF!,405_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,322.357,#¡VALOR!,#¡VALOR!,-,
,Ipfentrifluconazole,,CC(C)C(CN1C=NC=N1)(C2=C(C=C(C=C2)OC3=CC=C(C=C3)Cl)C(F)(F)F)O,3095,,#¡REF!,406_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,425.837,#¡VALOR!,#¡VALOR!,DeMethylation Inhibitor (DMI),
,Dichlobentiazox (Ref: KIF-1629),,C1=CC=C2C(=C1)C(=NS2(=O)=O)OCC3=C(C(=NS3)Cl)Cl,3099,,#¡REF!,408_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,349.218,#¡VALOR!,#¡VALOR!,Plant defense activator,
,Bismerthiazol,,C(NC1=NNC(=S)S1)NC2=NNC(=S)S2,3106,,#¡REF!,409_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,278.409,#¡VALOR!,#¡VALOR!,"Inhibits bacterial growth, inducing resitance and showing both protective and curactive activity.",
,Saisentong,,C(NC1=NN=C(S1)[S-])NC2=NN=C(S2)[S-].[Cu+2],3108,,#¡REF!,410_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,339.939,#¡VALOR!,#¡VALOR!,"Inhibits bacterial growth, inducing resitance and showing both protective and curactive activity.",
,(R)-hexaconazole,,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,3112,,#¡REF!,411_PPDB,PPDB,,acute,,rat,oral,=,2189,mg/kg,314.215,0.0070,2.1570,"Broad spectrum, systemic with protective and curative action. Disrupts membrane function. Sterol biosynthesis inhibitor.",
,,,-,3113,,#¡REF!,412_PPDB,PPDB,,acute,,rat,oral,=,2189,mg/kg,,#¡DIV/0!,#¡DIV/0!,"Broad spectrum, systemic with protective and curative action. Disrupts membrane function. Sterol biosynthesis inhibitor.",
,Isobutyric acid,,CC(C)C(=O)O,3128,,#¡REF!,415_PPDB,PPDB,,acute,,rat,oral,=,2230,mg/kg,88.1055,0.0253,1.5967,-,
,Copper abietate,,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)[O-])C.[Cu+2],3136,,#¡REF!,416_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,666.443,#¡VALOR!,#¡VALOR!,Preventative and curative with a high fungal pathogen spectrum,
,Florylpicoxamid (Ref:  X12485659),,CC(C(C1=CC=C(C=C1)F)C2=CC=C(C=C2)F)OC(=O)C(C)NC(=O)C3=NC=CC(=C3OC(=O)C)OC,3191,,#¡REF!,420_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,512.507,#¡VALOR!,#¡VALOR!,Broad spectrum.,
,Ipflufenoquin (Ref: NF-180),,CC1=C(C=C2C=CC(=C(C2=N1)F)F)OC3=C(C(=CC=C3)F)C(C)(C)O,3192,,#¡REF!,421_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,347.335,#¡VALOR!,#¡VALOR!,-,
,Pyrapropoyne (Ref: NC-241),,CC(C)ON=C(CNC(=O)C1=CN(N=C1C(F)F)C)C2=C(C=C(C=C2)C#CC3CC3)Cl,3193,,#¡REF!,422_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,448.9,#¡VALOR!,#¡VALOR!,Succinate Dehydrogenase Inhibitor (SDHI),
