Structure,Molecule name,CAS,SMILES,ID_base,,ID_asignado,ID_concatenado,DB source,DB soubsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Mode of action,Data Base source reference
,Spiroxamine (Ref: KWG 4168),,CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C,599,,#¡REF!,148_PPDB,PPDB,,acute,,rat,oral,=,460,mg/kg,297.481,0.0015,2.8107,"Systemic with protective, curative and eradicative action. Disrupts membrane function. Inhibits sterol biosynthesis in membranes.",
,Tebuconazole (Ref: HWG 1608),,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,610,,#¡REF!,150_PPDB,PPDB,,acute,,rat,oral,=,1700,mg/kg,307.824,0.0055,2.2579,"Systemic with protective, curative and eradicant action. Disrupts membrane function. Sterol biosynthesis inhibitor.",
,Tecnazene,,C1=C(C(=C(C(=C1Cl)Cl)[N+](=O)[O-])Cl)Cl,615,,#¡REF!,151_PPDB,PPDB,,acute,,rat,oral,=,1256,mg/kg,260.891,0.0048,2.3175,Protective and curative action. Acts by distrupting membrane structure and function. Lipid peroxidation inhibitor.,
,Tetraconazole (Ref: M 14360),,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F,626,,#¡REF!,152_PPDB,PPDB,,acute,,rat,oral,=,1031,mg/kg,372.148,0.0028,2.5575,"Systemic with protectant, eradicant and curative properties. Sterol biosynthesis inhibitor, acts mainly on the vegetative stages of fungi by blocking the mycelial growth either inside or on the surface of the host plant.",
,Triadimefon,,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,648,,#¡REF!,158_PPDB,PPDB,,acute,,rat,oral,=,300,mg/kg,293.753,0.0010,2.9909,"Systemic with protective, curative and eradicant action. Disrupts membrane function. Sterol biosynthesis inhibitor.",
,Triadimenol (Ref: BAY KWG 0519),,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,649,,#¡REF!,159_PPDB,PPDB,,acute,,rat,oral,=,721,mg/kg,295.769,0.0024,2.6130,"Selective with curative, protective and eradicant action. Disrupts membrane function. Sterol biosynthesis inhibitor.",
,Triazoxide (Ref: SAS 9244),,C1=CC2=C(C=C1Cl)[N+](=NC(=N2)N3C=CN=C3)[O-],654,,#¡REF!,160_PPDB,PPDB,,acute,,rat,oral,=,98,mg/kg,247.645,0.0004,3.4026,"Specific, non-systemic",
,Tricyclazole (Ref: EL 291),,CC1=C2C(=CC=C1)SC3=NN=CN23,660,,#¡REF!,161_PPDB,PPDB,,acute,,rat,oral,=,289.7,mg/kg,189.242,0.0015,2.8151,"Systemic, absorbed by roots and foliage and translocated, used mainly as a protectant, inhibits melanin biosynthesis",
,Tridemorph (Ref: BAS 2205-F),,CCCCCCCCCCCCCN1CC(OC(C1)C)C,661,,#¡REF!,162_PPDB,PPDB,,acute,,rat,oral,=,500,mg/kg,297.525,0.0017,2.7746,"Systemic with eradicant action, absorbed by leaves and shoots, some protectant properties. Disrupts membrane function.",
,Triflumizole (Ref: NF 114 ),,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2,665,,#¡REF!,164_PPDB,PPDB,,acute,,rat,oral,=,1057,mg/kg,345.751,0.0031,2.5147,Systemic with protective and curative action. Inhibitors of chitin biosynthesis.,
,Ziram,,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2],684,,#¡REF!,169_PPDB,PPDB,,acute,,rat,oral,=,267,mg/kg,305.829,0.0009,3.0590,Contact action with protective properties. Multi-site activity.,
,Ferimzone (Ref: TF-164),,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C,719,,#¡REF!,172_PPDB,PPDB,,acute,,rat,oral,=,725,mg/kg,254.336,0.0029,2.5451,Disrupts membrane function. Thought to inhibit mycelial growth and spore germination.,
,Etem,,C1CN2C(=N1)SSC2=S,875,,#¡REF!,174_PPDB,PPDB,,acute,,rat,oral,=,240,mg/kg,176.288,0.0014,2.8660,Contact action,
,,,-,878,,#¡REF!,175_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Contact action, eggs covered by an oil film are starved of oxygen and so do not hatch.",
,Methyl isothiocyanate (Ref: SN-32866),,CN=C=S,887,,#¡REF!,176_PPDB,PPDB,,acute,,rat,oral,=,147,mg/kg,73.1188,0.0020,2.6967,Fumigant with contact action,
,"2,4,5-trichlorophenol",,C1=C(C(=CC(=C1Cl)Cl)Cl)O,963,,#¡REF!,177_PPDB,PPDB,,acute,,rat,oral,=,820,mg/kg,197.448,0.0042,2.3816,Causes distorted growth that affects respiration and cell function,
,,,-,965,,#¡REF!,178_PPDB,PPDB,,acute,,rat,oral,=,-,mg/kg,,#¡VALOR!,#¡VALOR!,"Contact action, eggs covered by an oil film are starved of oxygen and so do not hatch.",
,Didecyldimethylammonium chloride (Ref: P0151),,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],988,,#¡REF!,179_PPDB,PPDB,,acute,,rat,oral,=,150,mg/kg,362.083,0.0004,3.3827,"Broad spectrum, non-systemic",
,"2,5-dichlorobenzoic acid methyl ester",,COC(=O)C1=C(C=CC(=C1)Cl)Cl,1074,,#¡REF!,186_PPDB,PPDB,,acute,,rat,oral,=,1030,mg/kg,205.04,0.0050,2.2990,Topical,
,Iminoctadine triacetate (Ref: DF 125),,CC(=O)O.CC(=O)O.CC(=O)O.C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N,1085,,#¡REF!,187_PPDB,PPDB,,acute,,rat,oral,=,300,mg/kg,535.728,0.0006,3.2518,Protectant. Multi-site activity.,
,Prothiocarb,,CCSC(=O)NCCCN(C)C,1112,,#¡REF!,188_PPDB,PPDB,,acute,,rat,oral,=,1300,mg/kg,190.31,0.0068,2.1655,"Lipid synthesis inhibitor, involves interference with membrane function. Slowly translocated.",
,Fenaminosulf (Ref: BAY 5027),,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],1130,,#¡REF!,191_PPDB,PPDB,,acute,,rat,oral,=,60,mg/kg,251.241,0.0002,3.6219,Interferes with NADH-ubiquinone reductase (complex I).,
,Ipconazole (Ref: KNF 317),,CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,1140,,#¡REF!,193_PPDB,PPDB,,acute,,rat,oral,=,888,mg/kg,333.862,0.0027,2.5752,"Systemic, broad-spectrun, inhibits sterol synthesis in fungi.",
,Benquinox (Ref: BAY 15080),,C1=CC=C(C=C1)C(=O)NNC2=CC=C(C=C2)N=O,1188,,#¡REF!,195_PPDB,PPDB,,acute,,rat,oral,=,100,mg/kg,241.249,0.0004,3.3825,Systemic,
,Etaconazole (Ref: CGA 64251 ),,CCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,1196,,#¡REF!,196_PPDB,PPDB,,acute,,rat,oral,=,1343,mg/kg,328.198,0.0041,2.3881,Sterol biosynthesis inhibition,
