Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,Source URL,ToxVal_ID,Chemical_ID
,Difethialone,104653-34-1,OC(Sc1c2cccc1)=C(C(CC(C1)c(cc3)ccc3-c(cc3)ccc3Br)c3c1cccc3)C2=O,DTXSID4032374,,14,14_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,0.56,mg/kg,539.492,0.0000,5.9838,,Environmental Health Criteria Monograph 175,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928593,ToxVal00025_0faced269ecc135f
,Nitrothal-isopropyl,10552-74-6,CC(C)OC(c1cc([N+]([O-])=O)cc(C(OC(C)C)=O)c1)=O,DTXSID5037579,,15,15_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,6400,mg/kg,295.29,0.0217,1.6641,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928594,ToxVal00025_063df62825fa50e8
,"1,4-Dichlorobenzene",106-46-7,Clc(cc1)ccc1Cl,DTXSID1020431,,16,16_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>=,500,mg/kg,147.004,0.0034,2.4684,,International Chemical Safety Card 37,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928595,ToxVal00025_01ab6993714f8132
,Tribenuron,106040-48-6,Cc1nc(N(C)C(NS(c(cccc2)c2C(O)=O)(=O)=O)=O)nc(OC)n1,DTXSID20147486,,17,17_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,381.368,0.0131,1.8824,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928596,ToxVal00025_e9d553b6cdff06e2
,Carbendazim,10605-21-7,COC(Nc1nc(cccc2)c2[nH]1)=O,DTXSID4024729,,18,18_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,191.189,0.0523,1.2815,,"WHO/FAO Report 89; Environmental Health Criteria Monograph 149; Health and Safety Guide 82; International Chemical Safety Card 1277; Joint FAO/WHO Meeting on Pesticide Residues Report 1996b,2006b",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928597,ToxVal00025_613f56e55a025886
,Acrolein,107-02-8,C=CC=O,DTXSID5020023,,19,19_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,29,mg/kg,56.0638,0.0005,3.2863,,Environmental Health Criteria Monograph 127; Health and Safety Guide 67; IARC 63; International Chemical Safety Card 90,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928598,ToxVal00025_8b84ab1f3c570682
,Allyl alcohol,107-18-6,C=CCO,DTXSID8020044,,20,20_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,64,mg/kg,58.0796,0.0011,2.9578,,International Chemical Safety Card 95,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928599,ToxVal00025_25318796211aa7fb
,Glyphosate,1071-83-6,OC(C[NH2+]CP(O)(O)=O)=O,DTXSID1024122,,21,21_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,4230,mg/kg,170.08,0.0249,1.6043,,"Environmental Health Criteria Monograph 159, WHO/FAO Report 91; International Chemical Safety Card 160; Joint FAO/WHO Meeting on Pesticide Residues Report 1987a",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928600,ToxVal00025_a7ba83b8763773ac
,Tebuconazole,107534-96-3,CC(C)(C)C(CCc(cc1)ccc1Cl)(C[n]1ncnc1)O,DTXSID9032113,,22,22_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1700,mg/kg,307.824,0.0055,2.2579,,Joint FAO/WHO Meeting on Pesticide Residues Report 1995b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928601,ToxVal00025_4a416c9e43116a6e
,"2,4,6,8-Tetramethyl-1,3,5,7-tetroxocane",108-62-3,CC1OC(C)OC(C)OC(C)O1,DTXSID1034715,,23,23_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,227,mg/kg,176.211,0.0013,2.8900,,WHO/FAO Report 93,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928602,ToxVal00025_db85b5204a520ca7
