Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,Source URL,ToxVal_ID,Chemical_ID
,Flupyrsulfuron-methyl sodium,144740-54-5,COC(c1ccc(C(F)(F)F)nc1S([N-]C(Nc1nc(OC)cc(OC)n1)=O)(=O)=O)=O.[Na+],DTXSID9058311,,131,131_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,487.346,0.0103,1.9889,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928710,ToxVal00025_bd4032c251137d9b
,Ferbam,14484-64-1,CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S.[Fe+3],DTXSID8020624,,132,132_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,416.504,0.0240,1.6196,,"WHO/FAO Report 94; Environmental Health Criteria Monograph 78; IARC 12, 42; International Chemical Safety Card 792; Joint FAO/WHO Meeting on Pesticide Residues Report 1997b",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928711,ToxVal00025_107c46394118bdf2
,Diclosulam,145701-21-9,CCOc1nc(F)cc2nc(S(Nc(c(Cl)ccc3)c3Cl)(=O)=O)n[n]12,DTXSID4034528,,133,133_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,406.224,0.0123,1.9098,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928712,ToxVal00025_8867003fd7664a93
,Florasulam,145701-23-1,COc([n](c1n2)nc2S(Nc(c(F)ccc2)c2F)(=O)=O)ncc1F,DTXSID7044340,,134,134_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,359.288,0.0139,1.8565,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928713,ToxVal00025_de47eb6111c8dd26
,Cloransulam-methyl,147150-35-4,CCOc1nc(F)cc2nc(S(Nc(c(C(OC)=O)ccc3)c3Cl)(=O)=O)n[n]12,DTXSID8034372,,135,135_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,429.815,0.0116,1.9343,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928714,ToxVal00025_5b1ccead50953598
,Thiabendazole,148-79-8,c1c(-c2nc(cccc3)c3[nH]2)nc[s]1,DTXSID0021337,,136,136_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,3330,mg/kg,201.253,0.0165,1.7813,,"Joint FAO/ WHO Expert Committee on Food Additives 1997, 2002",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928715,ToxVal00025_f5d7d992dcb904ca
,Phoxim,14816-18-3,CCOP(OCC)(O/N=C(/c1ccccc1)\C#N)=S,DTXSID8034324,,137,137_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,dermal,=,1975,mg/kg,298.302,0.0066,2.1791,,WHO/FAO Report 31; Joint FAO/ WHO Expert Committee on Food Additives 2000a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928716,ToxVal00025_12a8cd73e4bfcd14
,"({2-Chloro-4-fluoro-5-[(3-oxotetrahydro-1H,3H-[1,3,4]thiadiazolo[3,4-a]pyridazin-1-ylidene)amino]phenyl}sulfanyl)acetic acid",149253-65-6,OC(CSc(cc(c(F)c1)N=C(N2N3CCCC2)SC3=O)c1Cl)=O,DTXSID80869975,,138,138_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,389.858,0.0128,1.8919,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928717,ToxVal00025_17084c3ec26e5651
,Bifenazate,149877-41-8,CC(C)OC(NNc(cc(cc1)-c2ccccc2)c1OC)=O,DTXSID5032525,,139,139_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,300.357,0.0166,1.7787,,Joint FAO/WHO Meeting on Pesticide Residues Report 2008,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928718,ToxVal00025_7412f9d82346f853
,"4-Amino-3,6-dichloro-2-pyridinecarboxylic acid",150114-71-9,Nc1cc(Cl)nc(C(O)=O)c1Cl,DTXSID2034330,,140,140_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,207.016,0.0242,1.6170,,Joint FAO/WHO Meeting on Pesticide Residues Report 2009b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928719,ToxVal00025_abc0ace991471cdc
,Cryolite,15096-52-3,F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],DTXSID0034487,,141,141_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,209.94,0.0476,1.3221,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928720,ToxVal00025_dca38b3c4d0d98ca
,Cartap,15263-53-3,CN(C)C(CSC(N)=O)CSC(N)=O,DTXSID4044165,,142,142_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,325,mg/kg,237.347,0.0014,2.8635,,Environmental Health Criteria Monograph 76; Joint FAO/WHO Meeting on Pesticide Residues Report 1996a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928721,ToxVal00025_f80389f7c9c6286a
,Napropamide,15299-99-7,CCN(CC)C(C(C)Oc1cccc2ccccc12)=O,DTXSID5024211,,143,143_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,5000,mg/kg,271.359,0.0184,1.7346,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928722,ToxVal00025_96670c1a922194b0
,Mepiquat,15302-91-7,C[N+]1(C)CCCCC1,DTXSID9042122,,144,144_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1490,mg/kg,114.211,0.0130,1.8845,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928723,ToxVal00025_55ff129b352546ed
,Chlorotoluron,15545-48-9,Cc(ccc(NC(N(C)C)=O)c1)c1Cl,DTXSID8052853,,145,145_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,212.679,0.0470,1.3277,,International Chemical Safety Card 1327,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928724,ToxVal00025_2e96e04b68d7c1f8
,Zoxamide,156052-68-5,CCC(C)(C(CCl)=O)NC(c1cc(Cl)c(C)c(Cl)c1)=O,DTXSID9032581,,146,146_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,336.645,0.0149,1.8282,,Joint FAO/WHO Meeting on Pesticide Residues Report 2009b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928725,ToxVal00025_9beff52257193e82
,Carbofuran,1563-66-2,CC(C)(Cc1ccc2)Oc1c2OC(NC)=O,DTXSID9020249,,147,147_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,8,mg/kg,221.255,0.0000,4.4418,,"WHO/FAO Report 56; International Chemical Safety Card 122; Joint FAO/WHO Meeting on Pesticide Residues Report 1997b, 2003b, 2009a; See note 2.",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928726,ToxVal00025_43700df6c71b699f
,Trifluralin,1582-09-8,CCCN(CCC)c(c([N+]([O-])=O)cc(C(F)(F)F)c1)c1[N+]([O-])=O,DTXSID4021395,,148,148_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,335.281,0.0298,1.5254,,IARC 53; International Chemical Safety Card 205,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928727,ToxVal00025_5f518b612297b22f
,Fosetyl,15845-66-6,CCO[P+](O)=O,DTXSID2057990,,149,149_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,5800,mg/kg,109.041,0.0532,1.2742,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928728,ToxVal00025_53aa90d0dd65002c
,Chloralose,15879-93-3,OC[C@H]([C@H]1O[C@@H]2O[C@H](C(Cl)(Cl)Cl)O[C@@H]2[C@H]1O)O,DTXSID4020088,,150,150_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,400,mg/kg,309.528,0.0013,2.8886,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928729,ToxVal00025_38b8d79a4ac26744
,Dodemorph,1593-77-7,CC(C1)OC(C)CN1C1CCCCCCCCCCC1,DTXSID5041019,,151,151_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,4500,mg/kg,281.482,0.0160,1.7962,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928730,ToxVal00025_abca343f6090f853
,Daminozide,1596-84-5,CN(C)NC(CCC(O)=O)=O,DTXSID9020370,,152,152_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,8400,mg/kg,160.172,0.0524,1.2803,,Joint FAO/WHO Meeting on Pesticide Residues Report 1993,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928731,ToxVal00025_8d9e9adc45a42caa
,Alachlor,15972-60-8,CCc1cccc(CC)c1N(COC)C(CCl)=O,DTXSID1022265,,153,153_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,930,mg/kg,269.771,0.0034,2.4625,,"WHO/FAO Report 86; IARC 19, 36, 63; International Chemical Safety Card 371",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928732,ToxVal00025_aa41b46f0f4b7d8a
,Prometon,1610-18-0,CC(C)Nc1nc(OC)nc(NC(C)C)n1,DTXSID6022341,,154,154_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2980,mg/kg,225.295,0.0132,1.8785,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928733,ToxVal00025_a7c47e0c567da6cb
,Methoxyfenozide,161050-58-4,CC(C)(C)N(C(c1cc(C)cc(C)c1)=O)NC(c1c(C)c(OC)ccc1)=O,DTXSID3032628,,155,155_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,368.475,0.0136,1.8674,,Joint FAO/WHO Meeting on Pesticide Residues Report 2004,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928734,ToxVal00025_8434f3f400b0ce9d
,Carbetamide,16118-49-3,CCNC(C(C)OC(Nc1ccccc1)=O)=O,DTXSID7041756,,156,156_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,236.27,0.0423,1.3734,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928735,ToxVal00025_ebc68c4ecb497253
,(R)-2-(4-Chloro-2-methylphenoxy)propionate,16484-77-8,C[C@H](C([O-])=O)Oc(cc1)c(C)cc1Cl,DTXSID3032670,,157,157_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1050,mg/kg,213.639,0.0049,2.3085,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928736,ToxVal00025_22fedbc8173b89b3
,Ethephon,16672-87-0,OP(CCCl)(O)=O,DTXSID7024085,,158,158_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,4000,mg/kg,144.494,0.0277,1.5578,,Joint FAO/WHO Meeting on Pesticide Residues Report 2004; 2003b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928737,ToxVal00025_ddf2e3343254f6d2
,Methomyl,16752-77-5,CC(SC)=NOC(NC)=O,DTXSID1022267,,159,159_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,17,mg/kg,162.212,0.0001,3.9796,,"WHO/FAO Report 55, Environmental Health Criteria Monograph 178; Health and Safety Guide 97; International Chemical Safety Card 177, Joint FAO/WHO Meeting on Pesticide Residues Report 1989, 2002",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928738,ToxVal00025_eabb42865af258cc
,Spinosad,168316-95-8,CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O.CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C(C)[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O,DTXSID7032478,,160,160_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,3738,mg/kg,1477.96,0.0025,2.5970,,Joint FAO/WHO Meeting on Pesticide Residues Report 2002; International Chemical Safety Card 1502,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928739,ToxVal00025_22b71f3a118a7f4c
,Ioxynil,1689-83-4,N#Cc(cc1I)cc(I)c1O,DTXSID8022161,,161,161_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,110,mg/kg,370.907,0.0003,3.5279,,International Chemical Safety Card 900,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928740,ToxVal00025_9ad1b544476916aa
,Bromoxynil,1689-84-5,N#Cc(cc1Br)cc(Br)c1O,DTXSID3022162,,162,162_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,190,mg/kg,276.915,0.0007,3.1636,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928741,ToxVal00025_80f8cc31e3cd4c5c
,Chloridazon,1698-60-8,NC(C=NN(c1ccccc1)C1=O)=C1Cl,DTXSID3034872,,163,163_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2420,mg/kg,221.647,0.0109,1.9618,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928742,ToxVal00025_48defe42c57d9a7a
,Edifenphos,17109-49-8,CCOP(Sc1ccccc1)(Sc1ccccc1)=O,DTXSID7041910,,164,164_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,150,mg/kg,310.377,0.0005,3.3158,,Joint FAO/WHO Meeting on Pesticide Residues Report 1982,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928743,ToxVal00025_92bdd21dc52bb808
,Indoxacarb,173584-44-6,COC([C@@]1(C2)OCN(C(N(C(OC)=O)c(cc3)ccc3OC(F)(F)F)=O)N=C1c(cc1)c2cc1Cl)=O,DTXSID1032690,,165,165_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,268,mg/kg,527.838,0.0005,3.2944,,Joint FAO/WHO Meeting on Pesticide Residues Report 2006b,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928744,ToxVal00025_1adf67328418276f
,Monolinuron,1746-81-2,CN(C(Nc(cc1)ccc1Cl)=O)OC,DTXSID0037576,,166,166_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2250,mg/kg,214.651,0.0105,1.9796,,International Chemical Safety Card 1273,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928745,ToxVal00025_51aef26d52bfe521
,Bensultap,17606-31-4,CN(C)C(CSS(c1ccccc1)(=O)=O)CSS(c1ccccc1)(=O)=O,DTXSID6058001,,167,167_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1100,mg/kg,431.621,0.0025,2.5937,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928746,ToxVal00025_24f0fce7e097eb32
,Benomyl,17804-35-2,CCCCNC([n]1c(NC(OC)=O)nc2c1cccc2)=O,DTXSID5023900,,168,168_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,290.322,0.0344,1.4629,,"Environmental Health Criteria Monograph 148, WHO/FAO Report 87; Health and Safety Guide 81; International Chemical Safety Card 382; Joint FAO/WHO Meeting on Pesticide Residues Report 1996b.",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928747,ToxVal00025_239aac030abc0ddc
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,169,169_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,6200,mg/kg,344.265,0.0180,1.7445,,Joint FAO/WHO Meeting on Pesticide Residues Report 2009a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928748,ToxVal00025_ce7b1881a486dcd0
,Flucarbazone-sodium,181274-17-9,CN1C(OC)=NN(C(NS(c(cccc2)c2OC(F)(F)F)(=O)=O)=O)C1=O,DTXSID3034614,,170,170_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,396.301,0.0126,1.8991,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928749,ToxVal00025_1da3217af8369a4e
,Bromopropylate,18181-80-1,CC(C)OC(C(c(cc1)ccc1Br)(c(cc1)ccc1Br)O)=O,DTXSID1034397,,171,171_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,428.119,0.0117,1.9326,,Joint FAO/WHO Meeting on Pesticide Residues Report 1994,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928750,ToxVal00025_40178df1021f1be1
,Diprogulic acid,18467-77-1,CC(C)(O[C@H]12)O[C@]1(C(O)=O)O[C@@H]1[C@H]2OC(C)(C)OC1,DTXSID0047454,,172,172_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,274.268,0.0365,1.4382,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928751,ToxVal00025_0db1d3e2c5d93f5f
,Chlorthal-dimethyl,1861-32-1,COC(c(c(Cl)c(c(C(OC)=O)c1Cl)Cl)c1Cl)=O,DTXSID0024000,,173,173_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,3000,mg/kg,331.966,0.0090,2.0440,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928752,ToxVal00025_1a1217c76035dd13
,Benfluralin,1861-40-1,CCCCN(CC)c(c([N+]([O-])=O)cc(C(F)(F)F)c1)c1[N+]([O-])=O,DTXSID3023899,,174,174_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,335.281,0.0298,1.5254,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928753,ToxVal00025_d2297903dd41a608
,Methabenzthiazuron,18691-97-9,CNC(N(C)c1nc(cccc2)c2[s]1)=O,DTXSID0037570,,175,175_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,2500,mg/kg,221.283,0.0113,1.9470,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928754,ToxVal00025_5fbcd7a9ad134d7e
,Spinetoram J,187166-40-1,CC[C@@H](CCC[C@@H]([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)O[C@@H]([C@@H]([C@@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2N(C)C)OC1=O,DTXSID3052854,,176,176_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,748.007,0.0067,2.1749,,Joint FAO/WHO Meeting on Pesticide Residues Report 2009a,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928755,ToxVal00025_ea27a578d95a0240
,Boscalid,188425-85-6,O=C(c1cccnc1Cl)Nc(cccc1)c1-c(cc1)ccc1Cl,DTXSID6034392,,177,177_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,5000,mg/kg,343.212,0.0146,1.8366,,Joint FAO/WHO Meeting on Pesticide Residues Report 2008,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928756,ToxVal00025_85b43674391f5d24
,Isoxathion,18854-01-8,CCOP(OCC)(Oc1n[o]c(-c2ccccc2)c1)=S,DTXSID0042080,,178,178_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,112,mg/kg,313.313,0.0004,3.4468,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928757,ToxVal00025_aaa7a226b8740449
,Chlorothalonil,1897-45-6,N#Cc(c(Cl)c(c(Cl)c1Cl)C#N)c1Cl,DTXSID0020319,,179,179_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,265.914,0.0376,1.4247,,Environmental Health Criteria Monograph 183; Health and Safety Guide 98; IARC 30; International Chemical Safety Card 134; Joint FAO/WHO Meeting on Pesticide Residues Report 1993,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928758,ToxVal00025_f5f0d64b2a158825
,Oryzalin,19044-88-3,CCCN(CCC)c(c([N+]([O-])=O)cc(S(N)(=O)=O)c1)c1[N+]([O-])=O,DTXSID8024238,,180,180_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>,10000,mg/kg,346.363,0.0289,1.5395,,-,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928759,ToxVal00025_2492af40b70a9a53
,Paraquat dichloride,1910-42-5,C[n+](cc1)ccc1-c1cc[n+](C)cc1.[Cl-].[Cl-],DTXSID7024243,,181,181_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,150,mg/kg,257.163,0.0006,3.2341,,"WHO/FAO Report 4; Environmental Health Criteria Monograph 39; Health and Safety Guide 51; International Chemical Safety Card 5; Joint FAO/WHO Meeting on Pesticide Residues Report 1987a, 2004",https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928760,ToxVal00025_9407901ea0d1e550
,Atrazine,1912-24-9,CCNc1nc(Cl)nc(NC(C)C)n1,DTXSID9020112,,182,182_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,>=,2000,mg/kg,215.687,0.0093,2.0328,,WHO/FAO Report 82; Health and Safety Guide 47; IARC 53; International Chemical Safety Card 99,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928761,ToxVal00025_37dba0a497264617
,Trietazine,1912-26-1,CCNc1nc(Cl)nc(N(CC)CC)n1,DTXSID2042488,,183,183_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,2830,mg/kg,229.714,0.0123,1.9094,,International Chemical Safety Card 202,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928762,ToxVal00025_9901f712fa82031e
,Dicamba,1918-00-9,COc(c(C(O)=O)c(cc1)Cl)c1Cl,DTXSID4024018,,184,184_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1707,mg/kg,221.039,0.0077,2.1122,,International Chemical Safety Card 139,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928763,ToxVal00025_9ee6bde6521f3c9c
,Picloram,1918-02-1,Nc(c(Cl)c(C(O)=O)nc1Cl)c1Cl,DTXSID1021160,,185,185_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,8200,mg/kg,241.461,0.0340,1.4690,,International Chemical Safety Card 1246,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928764,ToxVal00025_50c76e2762e641e7
,Propachlor,1918-16-7,CC(C)N(C(CCl)=O)c1ccccc1,DTXSID4024274,,186,186_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1500,mg/kg,211.691,0.0071,2.1496,,WHO/FAO Report 78; Environmental Health Criteria Monograph 147; Health and Safety Guide 77; Joint FAO/WHO Meeting on Pesticide Residues Report 2002,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928765,ToxVal00025_20dee4276b607956
,Nitrapyrin,1929-82-4,ClC(c1cccc(Cl)n1)(Cl)Cl,DTXSID0024216,,187,187_WHOIPCS,WHO IPCS,Pesticide Classification 2009,acute,human health,Not specified,oral,=,1072,mg/kg,230.909,0.0046,2.3332,,International Chemical Safety Card 1658,https://apps.who.int/iris/bitstream/handle/10665/44271/9789241547963_eng.pdf?sequence=1&isAllowed=y,928766,ToxVal00025_8099bbe3eaf3a816
