Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM(g/mol),Operación,pLD50,,long_ref,,source_url,toxval_id,chemical_id
,Nonanal,124-19-6,CCCCCCCCC=O,DTXSID9021639,,280,280_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,142.241,0.0352,1.4541,,FOOD COSMET TOXICOL 11:115,,https://www.ng.cosmosdb.eu/,21701,ToxVal00029_7a280e5be818180f
,Nonanoic acid,112-05-0,CCCCCCCCC(O)=O,DTXSID3021641,,281,281_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,8400,mg/kg-day,158.24,0.0531,1.275,,FAP,,https://www.ng.cosmosdb.eu/,21703,ToxVal00029_d830799b9df135f6
,Octadecanoic acid,57-11-4,CCCCCCCCCCCCCCCCCC(O)=O,DTXSID8021642,,282,282_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,284.482,0.0176,1.7551,,FOOD COSMET TOXICOL 17:383-388,,https://www.ng.cosmosdb.eu/,21710,ToxVal00029_734d59a68d5d3cd6
,Octanal,124-13-0,CCCCCCCC=O,DTXSID3021643,,283,283_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,4620,mg/kg-day,128.214,0.036,1.4433,,AM IND HYG ASSOC J 23:95,,https://www.ng.cosmosdb.eu/,21720,ToxVal00029_437088abb2e3e9db
,Octanoic acid,124-07-2,CCCCCCCC(O)=O,DTXSID3021645,,284,284_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,10080,mg/kg-day,144.213,0.0699,1.1555,,FOOD COSMET TOXICOL 2:327,,https://www.ng.cosmosdb.eu/,21722,ToxVal00029_b0cf94249d93d66c
,4-Oxopentanoic acid,123-76-2,CC(CCC(O)=O)=O,DTXSID8021648,,285,285_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1850,mg/kg-day,116.116,0.0159,1.7977,,FOOD COSMET TOXICOL 17:847,,https://www.ng.cosmosdb.eu/,21725,ToxVal00029_e47c4a206da0f7d8
,Pentanal,110-62-3,CCCCC=O,DTXSID7021653,,286,286_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,3200,mg/kg-day,86.1334,0.0372,1.43,,IND HYG TOXICOL 2:1968,,https://www.ng.cosmosdb.eu/,21729,ToxVal00029_9de33bf4f7a85dd8
,Pentanal,110-62-3,CCCCC=O,DTXSID7021653,,287,287_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,6400,mg/kg-day,86.1334,0.0743,1.129,,IND HYG TOXICOL 2:1968,,https://www.ng.cosmosdb.eu/,21730,ToxVal00029_9de33bf4f7a85dd8
,Pentanoic acid,109-52-4,CCCCC(O)=O,DTXSID7021655,,288,288_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,500,mg/kg-day,102.132,0.0049,2.3102,,FEM 000001 15:2602-2613,,https://www.ng.cosmosdb.eu/,21734,ToxVal00029_372dc6c68b361d11
,Phenylacetic acid,103-82-2,OC(Cc1ccccc1)=O,DTXSID2021656,,289,289_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2250,mg/kg-day,136.15,0.0165,1.7818,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 341,,https://www.ng.cosmosdb.eu/,21743,ToxVal00029_c77f1cc67d88680b
,Phenylacetic acid,103-82-2,OC(Cc1ccccc1)=O,DTXSID2021656,,290,290_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,2250,mg/kg-day,136.15,0.0165,1.7818,,VOPR PITAN 5:48-53,,https://www.ng.cosmosdb.eu/,21744,ToxVal00029_c77f1cc67d88680b
,Phenylacetic acid,103-82-2,OC(Cc1ccccc1)=O,DTXSID2021656,,291,291_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,2250,mg/kg-day,136.15,0.0165,1.7818,,VOPR PITAN 5:48-53,,https://www.ng.cosmosdb.eu/,21745,ToxVal00029_c77f1cc67d88680b
,Propanal,123-38-6,CCC=O,DTXSID2021658,,292,292_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,800,mg/kg-day,58.0796,0.0138,1.8609,,ASP,,https://www.ng.cosmosdb.eu/,21746,ToxVal00029_a5408b03810cf5f7
,Propanal,123-38-6,CCC=O,DTXSID2021658,,293,293_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,400,mg/kg-day,58.0796,0.0069,2.162,,ASP,,https://www.ng.cosmosdb.eu/,21747,ToxVal00029_a5408b03810cf5f7
,Myristyl aldehyde,124-25-4,CCCCCCCCCCCCCC=O,DTXSID1021665,,294,294_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,212.375,0.0235,1.6281,,FOOD COSMET TOXICOL 11:113,,https://www.ng.cosmosdb.eu/,21763,ToxVal00029_cdd6ca4a30470713
,Undecanal,112-44-7,CCCCCCCCCCC=O,DTXSID4021688,,295,295_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,170.295,0.0294,1.5322,,FOOD COSMET TOXICOL 11:481,,https://www.ng.cosmosdb.eu/,21766,ToxVal00029_cd6b1f45e18e7def
,Methanol,67-56-1,CO,DTXSID2021731,,296,296_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5628,mg/kg-day,32.0418,0.1756,0.7554,,GIG TR PROF ZABOL 19:27,,https://www.ng.cosmosdb.eu/,21775,ToxVal00029_45378037efad37f6
,Methanol,67-56-1,CO,DTXSID2021731,,297,297_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,monkey,oral,=,7000,mg/kg-day,32.0418,0.2185,0.6606,,TOXICOL APPL PHARMACOL 3:202-209,,https://www.ng.cosmosdb.eu/,21776,ToxVal00029_45378037efad37f6
,Methanol,67-56-1,CO,DTXSID2021731,,298,298_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,dog,oral,=,8000,mg/kg-day,32.0418,0.2497,0.6026,,JOHNS HOPK HOSP BULL 14:213-25,,https://www.ng.cosmosdb.eu/,21777,ToxVal00029_45378037efad37f6
,Methanol,67-56-1,CO,DTXSID2021731,,299,299_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,8000,mg/kg-day,32.0418,0.2497,0.6026,,ARCH INTERN MED 27:71-82,,https://www.ng.cosmosdb.eu/,21778,ToxVal00029_45378037efad37f6
,Methanol,67-56-1,CO,DTXSID2021731,,300,300_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,9500,mg/kg-day,32.0418,0.2965,0.528,,BRAZ J MED BIOL RES 22:987-991,,https://www.ng.cosmosdb.eu/,21779,ToxVal00029_45378037efad37f6
,1-Propanol,71-23-8,CCCO,DTXSID2021739,,301,301_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2824,mg/kg-day,60.0955,0.047,1.328,,IND MED SURG 41:31-33,,https://www.ng.cosmosdb.eu/,21785,ToxVal00029_d6626090855b81b2
,1-Propanol,71-23-8,CCCO,DTXSID2021739,,302,302_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,560,mg/kg-day,60.0955,0.0093,2.0307,,S AFR MED J 43:795-798,,https://www.ng.cosmosdb.eu/,21786,ToxVal00029_d6626090855b81b2
,1-Butanol,71-36-3,CCCCO,DTXSID1021740,,303,303_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,790,mg/kg-day,74.1224,0.0107,1.9723,,S AFR MED J 43:795-798,,https://www.ng.cosmosdb.eu/,21798,ToxVal00029_a616bdef09caee6b
,1-Butanol,71-36-3,CCCCO,DTXSID1021740,,304,304_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,38,mg/kg-day,74.1224,0.0005,3.2902,,IND MED 41:31-33,,https://www.ng.cosmosdb.eu/,21799,ToxVal00029_a616bdef09caee6b
,1-Pentanol,71-41-0,CCCCCO,DTXSID6021741,,305,305_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,3030,mg/kg-day,88.1493,0.0344,1.4638,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,21813,ToxVal00029_4036e1ea6dbe0999
,1-Pentanol,71-41-0,CCCCCO,DTXSID6021741,,306,306_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,3000,mg/kg-day,88.1493,0.034,1.4681,,GIG SANIT 35:88-89,,https://www.ng.cosmosdb.eu/,21814,ToxVal00029_4036e1ea6dbe0999
,2-Methyl-1-propanol,78-83-1,CC(C)CO,DTXSID0021759,,307,307_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2460,mg/kg-day,74.1224,0.0332,1.479,,ARCH IND HYG OCCUP MED 10:61-68,,https://www.ng.cosmosdb.eu/,21820,ToxVal00029_631eaf4d16ca2388
,2-Butanol,78-92-2,CCC(C)O,DTXSID9021762,,308,308_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,790,mg/kg-day,74.1224,0.0107,1.9723,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 98-99,,https://www.ng.cosmosdb.eu/,21830,ToxVal00029_f917e1f643f1af9a
,Methyl acetate,79-20-9,CC(OC)=O,DTXSID4021767,,309,309_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,6482,mg/kg-day,74.0786,0.0875,1.058,,FAP,,https://www.ng.cosmosdb.eu/,21831,ToxVal00029_e12ce210e1355d5a
,Methyl acetate,79-20-9,CC(OC)=O,DTXSID4021767,,310,310_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,3704,mg/kg-day,74.0786,0.05,1.301,,IND MED 41:31,,https://www.ng.cosmosdb.eu/,21832,ToxVal00029_e12ce210e1355d5a
,Ionone,8013-90-9,CC1(C)C(/C=C/C(C)=O)C(C)=CCC1,DTXSID7044477,,311,311_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,4590,mg/kg-day,192.301,0.0239,1.6222,,FOOD ADDITIVES HANDBOOK (R.J. LEWIS) PAGE 253,,https://www.ng.cosmosdb.eu/,21841,ToxVal00029_aa7caa6f4f31f0a3
,3-Methylindole,83-34-1,Cc1c[nH]c2c1cccc2,DTXSID8021775,,312,312_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,3450,mg/kg-day,131.177,0.0263,1.58,,FOOD COSMET TOXICOL 14:863,,https://www.ng.cosmosdb.eu/,21844,ToxVal00029_c2ce0c2496331e60
,Riboflavin,83-88-5,Cc(c(C)c1)cc(N2C[C@@H]([C@@H]([C@@H](CO)O)O)O)c1N=C(C(N1)=O)C2=NC1=O,DTXSID8021777,,313,313_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,10000,mg/kg-day,376.368,0.0266,1.5756,,J PHARMACOL EXP THER 76:75-80,,https://www.ng.cosmosdb.eu/,21856,ToxVal00029_c21514c60d012f96
,Salicylaldehyde,90-02-8,Oc1c(C=O)cccc1,DTXSID1021792,,314,314_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,520,mg/kg-day,122.123,0.0043,2.3708,,FOOD COSMET TOXICOL 17:903-905,,https://www.ng.cosmosdb.eu/,21889,ToxVal00029_30878bbd710542f0
,Salicylaldehyde,90-02-8,Oc1c(C=O)cccc1,DTXSID1021792,,315,315_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,504,mg/kg-day,122.123,0.0041,2.3844,,ASP,,https://www.ng.cosmosdb.eu/,21890,ToxVal00029_30878bbd710542f0
,QUINOLINE,-,c1ccc2ncccc2c1,NODTXSID,,316,316_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,460,mg/kg-day,129.162,0.0036,2.4484,,FEM 000046 1:87,,https://www.ng.cosmosdb.eu/,21904,ToxVal00029_2797ffdd6c358972
,Piperine,94-62-2,O=C(/C=C/C=C/c(cc1)cc2c1OCO2)N1CCCCC1,DTXSID3021805,,317,317_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,59.6,mg/kg-day,285.342,0.0002,3.6801,,J RES IND MED 8:1,,https://www.ng.cosmosdb.eu/,21916,ToxVal00029_beb4f48c48846048
,Piperine,94-62-2,O=C(/C=C/C=C/c(cc1)cc2c1OCO2)N1CCCCC1,DTXSID3021805,,318,318_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,dog,oral,=,40.3,mg/kg-day,285.342,0.0001,3.8501,,J RES IND MED 8:1,,https://www.ng.cosmosdb.eu/,21917,ToxVal00029_beb4f48c48846048
,Piperine,94-62-2,O=C(/C=C/C=C/c(cc1)cc2c1OCO2)N1CCCCC1,DTXSID3021805,,319,319_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,56.2,mg/kg-day,285.342,0.0002,3.7056,,J RES IND MED 8:1,,https://www.ng.cosmosdb.eu/,21918,ToxVal00029_beb4f48c48846048
,o-Cresol,95-48-7,Cc(cccc1)c1O,DTXSID8021808,,320,320_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,121,mg/kg-day,108.14,0.0011,2.9512,,FEM 000033 5:937,,https://www.ng.cosmosdb.eu/,21944,ToxVal00029_6d90fe0d27ec1d9e
,o-Cresol,95-48-7,Cc(cccc1)c1O,DTXSID8021808,,321,321_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,344,mg/kg-day,108.14,0.0032,2.4974,,FEM 000033 6:1240,,https://www.ng.cosmosdb.eu/,21945,ToxVal00029_6d90fe0d27ec1d9e
,2-Methylbutanal,96-17-3,CCC(C)C=O,DTXSID2021818,,322,322_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,8570,mg/kg-day,86.1334,0.0995,1.0022,,FOOD CHEM TOXICOL 20:739-740,,https://www.ng.cosmosdb.eu/,21950,ToxVal00029_b0319eb76ee5222f
,2-Methylbutanal,96-17-3,CCC(C)C=O,DTXSID2021818,,323,323_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,4800,mg/kg-day,86.1334,0.0557,1.2539,,IND HYG TOXICOL 2:1968,,https://www.ng.cosmosdb.eu/,21951,ToxVal00029_b0319eb76ee5222f
,Acetophenone,98-86-2,CC(c1ccccc1)=O,DTXSID6021828,,324,324_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,900,mg/kg-day,120.151,0.0075,2.1255,,J IND HYG TOXICOL 30:63-68,,https://www.ng.cosmosdb.eu/,21959,ToxVal00029_24e556d7bf8eb223
,"N,N-Diethylethanolamine",100-37-8,CCN(CC)CCO,DTXSID5021837,,325,325_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,900,mg/kg-day,117.191,0.0077,2.1147,,FAP,,https://www.ng.cosmosdb.eu/,21969,ToxVal00029_16544e247e84e3b0
,Diphenyl oxide,101-84-8,c(cc1)ccc1Oc1ccccc1,DTXSID9021847,,326,326_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2450,mg/kg-day,170.21,0.0144,1.8418,,ASP,,https://www.ng.cosmosdb.eu/,21972,ToxVal00029_61810b91791d9b2d
,2-Methyl-4-phenylbutan-2-ol,103-05-9,CC(C)(CCc1ccccc1)O,DTXSID3021851,,327,327_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2100,mg/kg-day,164.247,0.0128,1.8933,,FEM 000025 4:423,,https://www.ng.cosmosdb.eu/,21977,ToxVal00029_a15245cce2fbd7c4
,5-ETHYL-2-METHYLPYRIDINE,-,CCc1cnc(C)cc1,NODTXSID,,328,328_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,800,mg/kg-day,121.182,0.0066,2.1803,,FEM 000046 1:71,,https://www.ng.cosmosdb.eu/,21978,ToxVal00029_00b3ac2e2b282152
,5-ETHYL-2-METHYLPYRIDINE,-,CCc1cnc(C)cc1,NODTXSID,,329,329_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1540,mg/kg-day,121.182,0.0127,1.8959,,FEM 000046 1:72,,https://www.ng.cosmosdb.eu/,21979,ToxVal00029_00b3ac2e2b282152
,Diethyl propanedioate,105-53-3,CCOC(CC(OCC)=O)=O,DTXSID7021863,,330,330_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,15721,mg/kg-day,160.168,0.0982,1.0081,,AMER IND HYG ASSOC J 30:470-476,,https://www.ng.cosmosdb.eu/,21985,ToxVal00029_4747b1e47afa096d
,p-Cresol,106-44-5,Cc(cc1)ccc1O,DTXSID7021869,,331,331_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,207,mg/kg-day,108.14,0.0019,2.718,,FEM 000033 5:939,,https://www.ng.cosmosdb.eu/,21995,ToxVal00029_11765fd602fd7fc4
,p-Cresol,106-44-5,Cc(cc1)ccc1O,DTXSID7021869,,332,332_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,344,mg/kg-day,108.14,0.0032,2.4974,,GIG TR PROF ZABOL 2:58-59,,https://www.ng.cosmosdb.eu/,21996,ToxVal00029_11765fd602fd7fc4
,ETHYLENEDIAMINE,-,NCCN,NODTXSID,,333,333_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,760,mg/kg-day,60.0995,0.0126,1.8981,,TOXICOL LETT 56:317-326,,https://www.ng.cosmosdb.eu/,22023,ToxVal00029_365a47163bc4d1b0
,ETHYLENEDIAMINE,-,NCCN,NODTXSID,,334,334_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,470,mg/kg-day,60.0995,0.0078,2.1068,,J IND HYG TOXICOL 23:259-268,,https://www.ng.cosmosdb.eu/,22024,ToxVal00029_365a47163bc4d1b0
,2-Pentanone,107-87-9,CCCC(C)=O,DTXSID0021888,,335,335_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2984,mg/kg-day,86.1334,0.0346,1.4604,,J AM IND HYG ASSOC 23:95-107,,https://www.ng.cosmosdb.eu/,22033,ToxVal00029_515afcdc9f45445a
,4-Methyl-2-pentanone,108-10-1,CC(C)CC(C)=O,DTXSID5021889,,336,336_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,2270,mg/kg-day,100.16,0.0227,1.6447,,ARCH IND HYG OCCUP MED 4:119,,https://www.ng.cosmosdb.eu/,22039,ToxVal00029_2f3cc4eb72103416
,4-Methyl-2-pentanone,108-10-1,CC(C)CC(C)=O,DTXSID5021889,,337,337_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1200,mg/kg-day,100.16,0.012,1.9215,,UNIV CALIF PUBLIC IN PHARMACOL 2:217-230,,https://www.ng.cosmosdb.eu/,22040,ToxVal00029_2f3cc4eb72103416
,Propyl acetate,109-60-4,CCCOC(C)=O,DTXSID6021901,,338,338_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,9370,mg/kg-day,102.132,0.0917,1.0374,,TOXICOL APPL PHARMACOL 6:378-387,,https://www.ng.cosmosdb.eu/,22041,ToxVal00029_252c13985a861c2b
,Propyl acetate,109-60-4,CCCOC(C)=O,DTXSID6021901,,339,339_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,6638,mg/kg-day,102.132,0.065,1.1871,,IND MED 41:31,,https://www.ng.cosmosdb.eu/,22042,ToxVal00029_252c13985a861c2b
,BUTYLAMINE,-,CCCCN,NODTXSID,,340,340_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,365.7,mg/kg-day,73.1383,0.005,2.301,,TOXICOL APPL PHARMACOL 63:150-152,,https://www.ng.cosmosdb.eu/,22045,ToxVal00029_a9003a656fcc79bd
,BUTYLAMINE,-,CCCCN,NODTXSID,,341,341_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,430,mg/kg-day,73.1383,0.0059,2.2307,,GIG SANIT 40:21,,https://www.ng.cosmosdb.eu/,22046,ToxVal00029_a9003a656fcc79bd
,BUTYLAMINE,-,CCCCN,NODTXSID,,342,342_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,430,mg/kg-day,73.1383,0.0059,2.2307,,TOXIC PARAM IND TOX CHEM UNDER SINGLE EXPOSURE VOL. 28,,https://www.ng.cosmosdb.eu/,22047,ToxVal00029_a9003a656fcc79bd
,Diethyl decanedioate,110-40-7,CCOC(CCCCCCCCC(OCC)=O)=O,DTXSID0021915,,343,343_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,14470,mg/kg-day,258.356,0.056,1.2518,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,22051,ToxVal00029_70e86d6a135751ba
,Diethyl decanedioate,110-40-7,CCOC(CCCCCCCCC(OCC)=O)=O,DTXSID0021915,,344,344_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,7280,mg/kg-day,258.356,0.0282,1.5501,,FOOD COSMET TOXICOL 2:327-343,,https://www.ng.cosmosdb.eu/,22052,ToxVal00029_70e86d6a135751ba
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,345,345_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,1670,mg/kg-day,114.187,0.0146,1.8349,,FEM 000002 1:119,,https://www.ng.cosmosdb.eu/,22055,ToxVal00029_c8b920143134cf4a
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,346,346_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,730,mg/kg-day,114.187,0.0064,2.1943,,ACTA PHARM YUGOSLAVICA 12:79,,https://www.ng.cosmosdb.eu/,22056,ToxVal00029_c8b920143134cf4a
,HEXANE,-,CCCCCC,NODTXSID,,347,347_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,28723,mg/kg-day,86.1772,0.3333,0.4772,,TOXICOL APPL PHARMACOL 19:699-704,,https://www.ng.cosmosdb.eu/,22069,ToxVal00029_898d0ff455a16f5f
,Cyclohexane,110-82-7,C1CCCCC1,DTXSID4021923,,348,348_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,30000,mg/kg-day,84.1613,0.3565,0.448,,TOXICOL APPL PHARMACOL 19:699,,https://www.ng.cosmosdb.eu/,22074,ToxVal00029_1c3a32e67789abcb
,PYRIDINE,-,c1ccncc1,NODTXSID,,349,349_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1500,mg/kg-day,79.1017,0.019,1.7221,,PHARMACOL RES COMMUN 5:341-365,,https://www.ng.cosmosdb.eu/,22090,ToxVal00029_6bd9db7e888a452a
,PYRIDINE,-,c1ccncc1,NODTXSID,,350,350_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,891,mg/kg-day,79.1017,0.0113,1.9483,,FEM 000046 5:1190,,https://www.ng.cosmosdb.eu/,22091,ToxVal00029_6bd9db7e888a452a
,2-Octanone,111-13-7,CCCCCCC(C)=O,DTXSID4021927,,351,351_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,128.214,0.039,1.409,,FOOD COSMET TOXICOL 13:861,,https://www.ng.cosmosdb.eu/,22107,ToxVal00029_98c102029a72aeef
,1-Hexanol,111-27-3,CCCCCCO,DTXSID8021931,,352,352_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,720,mg/kg-day,102.176,0.007,2.152,,SOUTH AFRICAN MED J 43:795-798,,https://www.ng.cosmosdb.eu/,22112,ToxVal00029_d739591388ffc1ff
,1-Hexanol,111-27-3,CCCCCCO,DTXSID8021931,,353,353_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1950,mg/kg-day,102.176,0.0191,1.7193,,ASP,,https://www.ng.cosmosdb.eu/,22113,ToxVal00029_d739591388ffc1ff
,1-Heptanol,111-70-6,CCCCCCCO,DTXSID8021937,,354,354_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1500,mg/kg-day,116.203,0.0129,1.8891,,GIG SANIT 31:310-316,,https://www.ng.cosmosdb.eu/,22118,ToxVal00029_ad303636118169a2
,1-Heptanol,111-70-6,CCCCCCCO,DTXSID8021937,,355,355_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,500,mg/kg-day,116.203,0.0043,2.3662,,CHEMOSPHERE 36:1475-1483,,https://www.ng.cosmosdb.eu/,22119,ToxVal00029_ad303636118169a2
,1-Heptanol,111-70-6,CCCCCCCO,DTXSID8021937,,356,356_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,750,mg/kg-day,116.203,0.0065,2.1902,,GIG SANIT 31:310-316,,https://www.ng.cosmosdb.eu/,22120,ToxVal00029_ad303636118169a2
,1-Octanol,111-87-5,CCCCCCCCO,DTXSID7021940,,357,357_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,130.23,0.0384,1.4157,,FOOD COSMET TOXICOL 11:101,,https://www.ng.cosmosdb.eu/,22124,ToxVal00029_c6e4a7f902d1d177
,1-Octanol,111-87-5,CCCCCCCCO,DTXSID7021940,,358,358_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,1790,mg/kg-day,130.23,0.0137,1.8619,,GIG SANIT 31:310-316,,https://www.ng.cosmosdb.eu/,22125,ToxVal00029_c6e4a7f902d1d177
,2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,DTXSID2021943,,359,359_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,170.295,0.0294,1.5322,,FOOD COSMET TOXICOL 13:869-870,,https://www.ng.cosmosdb.eu/,22126,ToxVal00029_4a70d464f0f4b6b1
,2-Undecanone,112-12-9,CCCCCCCCCC(C)=O,DTXSID2021943,,360,360_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,3880,mg/kg-day,170.295,0.0228,1.6424,,FOOD COSMET TOXICAL 13:869-870,,https://www.ng.cosmosdb.eu/,22127,ToxVal00029_4a70d464f0f4b6b1
,1-Decanol,112-30-1,CCCCCCCCCCO,DTXSID7021946,,361,361_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,4720,mg/kg-day,158.284,0.0298,1.5255,,AM IND HYG ASSN J 34:493-499,,https://www.ng.cosmosdb.eu/,22128,ToxVal00029_065307db3ce80f6c
