Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM(g/mol),Operación,pLD50,,long_ref,,source_url,toxval_id,chemical_id
,L-Ascorbic acid,50-81-7,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O,DTXSID5020106,,18,18_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,3367,mg/kg-day,176.124,0.0191,1.7186,,ASP,,https://www.ng.cosmosdb.eu/,16496,ToxVal00029_890823a4e421e434
,L-Ascorbic acid,50-81-7,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O,DTXSID5020106,,19,19_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,dog,oral,=,5000,mg/kg-day,176.124,0.0284,1.5468,,BIOCHEM J 28:770-773,,https://www.ng.cosmosdb.eu/,16497,ToxVal00029_890823a4e421e434
,L-Ascorbic acid,50-81-7,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O,DTXSID5020106,,20,20_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,cat,oral,=,1000,mg/kg-day,176.124,0.0057,2.2458,,BIOCHEM J 28:770-773,,https://www.ng.cosmosdb.eu/,16498,ToxVal00029_890823a4e421e434
,L-Ascorbic acid,50-81-7,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O,DTXSID5020106,,21,21_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,guinea pig,oral,=,5000,mg/kg-day,176.124,0.0284,1.5468,,BIOCHEM J 28:770-773,,https://www.ng.cosmosdb.eu/,16499,ToxVal00029_890823a4e421e434
,L-Ascorbic acid,50-81-7,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O,DTXSID5020106,,22,22_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,2000,mg/kg-day,176.124,0.0114,1.9448,,BIOCHEM J 28:770-773,,https://www.ng.cosmosdb.eu/,16500,ToxVal00029_890823a4e421e434
,Aspartame,22839-47-0,COC([C@H](Cc1ccccc1)NC([C@H](CC(O)=O)N)=O)=O,DTXSID0020107,,23,23_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,5000,mg/kg-day,294.306,0.017,1.7698,,FMF,,https://www.ng.cosmosdb.eu/,16630,ToxVal00029_cc2c815ce2ee3c96
,Aspartame,22839-47-0,COC([C@H](Cc1ccccc1)NC([C@H](CC(O)=O)N)=O)=O,DTXSID0020107,,24,24_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,5000,mg/kg-day,294.306,0.017,1.7698,,FMF,,https://www.ng.cosmosdb.eu/,16631,ToxVal00029_cc2c815ce2ee3c96
,Aspartame,22839-47-0,COC([C@H](Cc1ccccc1)NC([C@H](CC(O)=O)N)=O)=O,DTXSID0020107,,25,25_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rabbit,oral,=,5000,mg/kg-day,294.306,0.017,1.7698,,FMF,,https://www.ng.cosmosdb.eu/,16632,ToxVal00029_cc2c815ce2ee3c96
,Benzaldehyde,100-52-7,O=Cc1ccccc1,DTXSID8039241,,26,26_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,rat,oral,=,800,mg/kg-day,106.124,0.0075,2.1227,,ASP,,https://www.ng.cosmosdb.eu/,16669,ToxVal00029_287b3957b80a500e
,Benzaldehyde,100-52-7,O=Cc1ccccc1,DTXSID8039241,,27,27_COSMOSDB,COSMOS,US FDA CFSAN PAFA,acute,human health,mouse,oral,=,800,mg/kg-day,106.124,0.0075,2.1227,,ASP,,https://www.ng.cosmosdb.eu/,16670,ToxVal00029_287b3957b80a500e
