Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Haloxyfop-P,95977-29-0,C[C@H](C(O)=O)Oc(cc1)ccc1Oc(ncc(C(F)(F)F)c1)c1Cl,DTXSID90904725,,126,126_EFSADB,EFSA,EFSA,acute,eco,bird,oral,=,414,mg/kg,361.702,0.0011,2.9414,,Conclusion on the peer review of the pesticide risk assessment of the active substance haloxyfop-P (haloxyfop-R) 20091105,https://doi.org/doi:10.2903/j.efsa.2009.1348,,914237,ToxVal00035_1b05bd7b987de55f
,Haloxyfop-P,95977-29-0,C[C@H](C(O)=O)Oc(cc1)ccc1Oc(ncc(C(F)(F)F)c1)c1Cl,DTXSID90904725,,127,127_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100,ug/piece,361.702,0.0003,3.5584,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance haloxyfop-P (haloxyfop-R) 20060618,https://doi.org/doi:10.2903/j.efsa.2006.87r,,914240,ToxVal00035_1b05bd7b987de55f
,8-Hydroxyquinoline,148-24-3,Oc1cccc2cccnc12,DTXSID5020730,,128,128_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,68.64,ug/piece,145.161,0.0005,3.3253,,Conclusion on the peer review of the pesticide risk assessment of the active substance 8-hydroxyquinoline 20110128,https://doi.org/doi:10.2903/j.efsa.2011.1964,,914251,ToxVal00035_fd207d1e383292f7
,Cyclaniliprole,1031756-98-5,CC(C1CC1)NC(c1cc(Cl)cc(Br)c1NC(c1cc(Br)n[n]1-c1ncccc1Cl)=O)=O,DTXSID10893627,,129,129_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.194,ug/piece,602.113,0.0000,6.4919,,Peer review of the pesticide risk assessment of the active substance cyclaniliprole 20160419,https://doi.org/doi:10.2903/j.efsa.2016.4452,,914255,ToxVal00035_355104a6ee4726f4
,Cyclaniliprole,1031756-98-5,CC(C1CC1)NC(c1cc(Cl)cc(Br)c1NC(c1cc(Br)n[n]1-c1ncccc1Cl)=O)=O,DTXSID10893627,,130,130_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.486,ug/piece,602.113,0.0000,6.0930,,Peer review of the pesticide risk assessment of the active substance cyclaniliprole 20160419,https://doi.org/doi:10.2903/j.efsa.2016.4452,,914256,ToxVal00035_355104a6ee4726f4
,Imazosulfuron,122548-33-8,COc1nc(NC(NS(c([n](cccc2)c2n2)c2Cl)(=O)=O)=O)nc(OC)c1,DTXSID2057946,,131,131_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1000,mg/kg-day,412.813,0.0024,2.6158,,Peer review of the pesticide risk assessment of the active substance imazosulfuron 20170215,https://doi.org/doi:10.2903/j.efsa.2017.4695,,914257,ToxVal00035_df50440aa4562528
,Indoxacarb,173584-44-6,COC([C@@]1(C2)OCN(C(N(C(OC)=O)c(cc3)ccc3OC(F)(F)F)=O)N=C1c(cc1)c2cc1Cl)=O,DTXSID1032690,,132,132_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,73.5,mg/kg-day,527.838,0.0001,3.8562,,Peer review of the pesticide risk assessment of the active substance indoxacarb 20180125,https://doi.org/doi:10.2903/j.efsa.2018.5140,,914270,ToxVal00035_c1b4b656945837e7
,Iron(II) sulfate,7720-78-7,[O-]S([O-])(=O)=O.[Fe+2],DTXSID0029688,,133,133_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,1230.75,mg/kg-day,151.907,0.0081,2.0914,,Conclusion on the peer review of the pesticide risk assessment of the active substance iron sulfate 20120125,https://doi.org/doi:10.2903/j.efsa.2012.2521,,914277,ToxVal00035_b6fd012e0f2066ca
,Iron(II) sulfate,7720-78-7,[O-]S([O-])(=O)=O.[Fe+2],DTXSID0029688,,134,134_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,683.1,mg/kg-day,151.907,0.0045,2.3471,,Conclusion on the peer review of the pesticide risk assessment of the active substance iron sulfate 20120125,https://doi.org/doi:10.2903/j.efsa.2012.2521,,914278,ToxVal00035_b6fd012e0f2066ca
,Isoproturon,34123-59-6,CC(C)c(cc1)ccc1NC(N(C)C)=O,DTXSID1042077,,135,135_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,99.2,ug/piece,206.288,0.0005,3.3180,,Conclusion on the peer review of the pesticide risk assessment of the active substance isoproturon 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4206,,914286,ToxVal00035_b84ba7033b0cdc89
,Isoproturon,34123-59-6,CC(C)c(cc1)ccc1NC(N(C)C)=O,DTXSID1042077,,136,136_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,206.288,0.0005,3.3145,,Conclusion on the peer review of the pesticide risk assessment of the active substance isoproturon 20150820,https://doi.org/doi:10.2903/j.efsa.2015.4206,,914287,ToxVal00035_b84ba7033b0cdc89
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,137,137_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,2506,mg/kg-day,344.265,0.0073,2.1379,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914288,ToxVal00035_77aabfccaa1b5c70
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,138,138_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,2806,mg/kg-day,344.265,0.0082,2.0888,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914289,ToxVal00035_77aabfccaa1b5c70
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,139,139_EFSADB,EFSA,EFSA,acute,human health,mouse,oral,=,3459,mg/kg,344.265,0.0100,1.9979,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914290,ToxVal00035_77aabfccaa1b5c70
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,140,140_EFSADB,EFSA,EFSA,acute,human health,mouse,oral,=,2235,mg/kg-day,344.265,0.0065,2.1876,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914291,ToxVal00035_77aabfccaa1b5c70
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,141,141_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg,344.265,0.0058,2.2359,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914294,ToxVal00035_77aabfccaa1b5c70
,Prothioconazole,178928-70-6,OC(Cc(cccc1)c1Cl)(CN1N=CNC1=S)C1(CC1)Cl,DTXSID4034869,,142,142_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,>,297,mg/kg-day,344.265,0.0009,3.0641,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance prothioconazole 20070801,https://doi.org/doi:10.2903/j.efsa.2007.106r,,914296,ToxVal00035_77aabfccaa1b5c70
,Aluminum oxide silicate  (Al2O(SiO4)),12141-46-7,[O-2].[O-2].[O-2].[O-2].[O-2].[Al+3].[Al+3].[Si+4],DTXSID2050451,,143,143_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg,162.045,0.0309,1.5107,,Conclusion on the peer review of the pesticide risk assessment of the active substance aluminium silicate 20120210,https://doi.org/doi:10.2903/j.efsa.2012.2517,,914301,ToxVal00035_0756a50f94a544f9
,Malathion,121-75-5,CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O,DTXSID4020791,,144,144_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,359,mg/kg,330.361,0.0011,2.9639,,Peer review of the pesticide risk assessment of the active substance malathion 20090728,https://doi.org/doi:10.2903/j.efsa.2009.333r,,914349,ToxVal00035_4bdcc06a711cfd64
,Malathion,121-75-5,CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O,DTXSID4020791,,145,145_EFSADB,EFSA,EFSA,short-term,eco,bobwhite quail,oral,=,554,mg/kg-day,330.361,0.0017,2.7755,,Peer review of the pesticide risk assessment of the active substance malathion 20090728,https://doi.org/doi:10.2903/j.efsa.2009.333r,,914350,ToxVal00035_4bdcc06a711cfd64
,(R)-2-(4-Chloro-2-methylphenoxy)propionate,16484-77-8,C[C@H](C([O-])=O)Oc(cc1)c(C)cc1Cl,DTXSID3032670,,146,146_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,83,ug/piece,213.639,0.0004,3.4106,,Peer review of the pesticide risk assessment of the active substance mecoprop-P 20170518,https://doi.org/doi:10.2903/j.efsa.2017.4832,,914375,ToxVal00035_ecfbd9b898340f70
,Captan,133-06-2,O=C(C(CC=CC1)C1C1=O)N1SC(Cl)(Cl)Cl,DTXSID9020243,,147,147_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,2000,mg/kg,300.593,0.0067,2.1769,,Peer review of the pesticide risk assessment of the active substance captan 20091022,https://doi.org/doi:10.2903/j.efsa.2009.296r,,914379,ToxVal00035_c6b3a65c39836de8
,Methyl isothiocyanate,556-61-6,CN=C=S,DTXSID2027204,,148,148_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,119,mg/kg-day,73.1188,0.0016,2.7885,,Conclusion on the peer review of the pesticide risk assessment of the active substance metam 20110912,https://doi.org/doi:10.2903/j.efsa.2011.2334,,914388,ToxVal00035_7d036bfa1fc19d76
,Metam-sodium,-,CNC([S-])=S.[Na+],NODTXSID,,149,149_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,119,mg/kg-day,129.183,0.0009,3.0357,,Conclusion on the peer review of the pesticide risk assessment of the active substance metam 20110912,https://doi.org/doi:10.2903/j.efsa.2011.2334,,914389,ToxVal00035_cdb0b7b4744f88e8
,Methiocarb,2032-65-7,Cc1cc(OC(NC)=O)cc(C)c1SC,DTXSID3032626,,150,150_EFSADB,EFSA,EFSA,acute,human health,rat,oral,<,50,mg/kg-day,225.311,0.0002,3.6538,,Peer review of the pesticide risk assessment of the active substance methiocarb 20181030,https://doi.org/doi:10.2903/j.efsa.2018.5429,,914396,ToxVal00035_f9e8c37e1e2a683f
,Methomyl,16752-77-5,CC(SC)=NOC(NC)=O,DTXSID1022267,,151,151_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,30.4,mg/kg,162.212,0.0002,3.7272,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance methomyl 20060725,https://doi.org/doi:10.2903/j.efsa.2006.83r,,914400,ToxVal00035_5677aa8663fdfa13
,Bifenox,42576-02-3,COC(c(cc(cc1)Oc(ccc(Cl)c2)c2Cl)c1[N+]([O-])=O)=O,DTXSID1040320,,152,152_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,2000,mg/kg-day,342.133,0.0058,2.2332,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance bifenox 20080214,https://doi.org/doi:10.2903/j.efsa.2008.119r,,914407,ToxVal00035_a509e15373c73171
,Emamectin B1B,121424-52-0,CC(C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@H]1NC,DTXSID80153265,,153,153_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,=,37,mg/kg-day,872.102,0.0000,4.3724,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,914423,ToxVal00035_b48eb63900f4d7e9
,Emamectin B1A,121124-29-6,CC[C@H](C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1NC,DTXSID80153164,,154,154_EFSADB,EFSA,EFSA,acute,eco,mallard duck,oral,=,37,mg/kg-day,886.129,0.0000,4.3793,,Conclusion on the peer review of the pesticide risk assessment of the active substance emamectin 20121121,https://doi.org/doi:10.2903/j.efsa.2012.2955,,914424,ToxVal00035_dc95dc869e028d60
,"2-Amino-3-chloro-1,4-naphthoquinone",2797-51-5,NC(C(c(cccc1)c1C1=O)=O)=C1Cl,DTXSID1041390,,155,155_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,28,ug/piece,207.616,0.0001,3.8701,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance quinoclamine 20071212,https://doi.org/doi:10.2903/j.efsa.2007.117r,,914425,ToxVal00035_f6a78770eeb03096
,Acetochlor,34256-82-1,CCc(cccc1C)c1N(COCC)C(CCl)=O,DTXSID8023848,,156,156_EFSADB,EFSA,EFSA,acute,eco,bird,oral,=,375,mg/kg,269.771,0.0014,2.8570,,Conclusion on the peer review of the pesticide risk assessment of the active substance acetochlor 20110511,https://doi.org/doi:10.2903/j.efsa.2011.2143,,914429,ToxVal00035_c6c273ca64bf546f
,Acetochlor,34256-82-1,CCc(cccc1C)c1N(COCC)C(CCl)=O,DTXSID8023848,,157,157_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,1000,mg/kg-day,269.771,0.0037,2.4310,,Conclusion on the peer review of the pesticide risk assessment of the active substance acetochlor 20110511,https://doi.org/doi:10.2903/j.efsa.2011.2143,,914430,ToxVal00035_c6c273ca64bf546f
,N-demethyl-175-J,-,CC[C@@H](CCCC([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)OC([C@@H]([C@@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2NC)OC1=O,NODTXSID,,158,158_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,3129,mg/kg-day,733.98,0.0043,2.3703,,Conclusion on the peer review of the pesticide risk assessment of the active substance spinetoram. 20130508,https://doi.org/doi:10.2903/j.efsa.2013.3220,,914454,ToxVal00035_1f84ea656dea7f25
,Spinetoram,935545-74-7,CC[C@@H](CCC[C@@H]([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)O[C@H]([C@@H]([C@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2N(C)C)OC1=O,DTXSID3058614,,159,159_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,3129,mg/kg-day,748.007,0.0042,2.3785,,Conclusion on the peer review of the pesticide risk assessment of the active substance spinetoram. 20130508,https://doi.org/doi:10.2903/j.efsa.2013.3220,,914455,ToxVal00035_a793bf9708b766fb
,Rapeseed oil,8002-13-9,,DTXSID2029292,,160,160_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,1794.1,mg/kg-day,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance plant oils/rapeseed oil 20130117,https://doi.org/doi:10.2903/j.efsa.2013.3058,,914460,ToxVal00035_cee17b16b69add39
,Fatty acids (chain length C7 to C18) and their salts and esters,-,,NODTXSID,,161,161_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,96.04,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance Fatty acids C7 to C18 (approved under Regulation (EC) No 1107/2009 as Fatty acids C7 to C20) 20130107,https://doi.org/doi:10.2903/j.efsa.2013.3023,,914461,ToxVal00035_520b4179d597eb40
,Fatty acids (chain length C7 to C18) and their salts and esters,-,,NODTXSID,,162,162_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,,#¡DIV/0!,#¡DIV/0!,,Conclusion on the peer review of the pesticide risk assessment of the active substance Fatty acids C7 to C18 (approved under Regulation (EC) No 1107/2009 as Fatty acids C7 to C20) 20130107,https://doi.org/doi:10.2903/j.efsa.2013.3023,,914462,ToxVal00035_520b4179d597eb40
,N-formyl-175-J,-,CC[C@@H](CCCC([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)OC([C@@H]([C@@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2NC=O)OC1=O,NODTXSID,,163,163_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg-day,747.963,0.0067,2.1749,,Conclusion on the peer review of the pesticide risk assessment of the active substance spinetoram. 20130508,https://doi.org/doi:10.2903/j.efsa.2013.3220,,914466,ToxVal00035_93c1848b1f18d165
,Spinetoram,935545-74-7,CC[C@@H](CCC[C@@H]([C@@H](C)C(C1=C[C@@H]([C@H](C[C@@H](C2)O[C@H]([C@@H]([C@H]3OCC)OC)O[C@@H](C)[C@@H]3OC)[C@@H]2CC2)[C@@H]2[C@@H]1C1)=O)O[C@@H](CC2)O[C@H](C)[C@H]2N(C)C)OC1=O,DTXSID3058614,,164,164_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,5000,mg/kg-day,748.007,0.0067,2.1749,,Conclusion on the peer review of the pesticide risk assessment of the active substance spinetoram. 20130508,https://doi.org/doi:10.2903/j.efsa.2013.3220,,914467,ToxVal00035_a793bf9708b766fb
,Oryzalin,19044-88-3,CCCN(CCC)c(c([N+]([O-])=O)cc(S(N)(=O)=O)c1)c1[N+]([O-])=O,DTXSID8024238,,165,165_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,32,ug/piece,346.363,0.0001,4.0344,,Conclusion on the peer review of the pesticide risk assessment of the active substance oryzalin. 20100903,https://doi.org/doi:10.2903/j.efsa.2010.1707,,914502,ToxVal00035_b04ef384894c4f21
,Penflufen,-,CC(C)CC(C)c(cccc1)c1NC(c(c(C)n[n]1C)c1F)=O,NODTXSID,,166,166_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,105.3,ug/piece,317.407,0.0003,3.4792,,Peer review of the pesticide risk assessment of the active substance penflufen 20161103,https://doi.org/doi:10.2903/j.efsa.2016.4604,,914528,ToxVal00035_aad4f773356f19db
,Pethoxamid,106700-29-2,CCOCCN(C(CCl)=O)C(c1ccccc1)=C(C)C,DTXSID4057928,,167,167_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,=,872.4,mg/kg-day,295.809,0.0029,2.5303,,Peer review of the pesticide risk assessment of the active substance pethoxamid 20170920,https://doi.org/doi:10.2903/j.efsa.2017.4981,,914539,ToxVal00035_d3dd94e5135a611a
,Picoxystrobin,117428-22-5,CO/C=C(/C(OC)=O)\c1c(COc2cccc(C(F)(F)F)n2)cccc1,DTXSID9047542,,168,168_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,200,ug/piece,367.322,0.0005,3.2640,,Peer review of the pesticide risk assessment of the active substance picoxystrobin 20160622,https://doi.org/doi:10.2903/j.efsa.2016.4515,,914564,ToxVal00035_d59b0eb5b8d2ae1f
,Picoxystrobin,117428-22-5,CO/C=C(/C(OC)=O)\c1c(COc2cccc(C(F)(F)F)n2)cccc1,DTXSID9047542,,169,169_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,200,ug/piece,367.322,0.0005,3.2640,,Peer review of the pesticide risk assessment of the active substance picoxystrobin 20160622,https://doi.org/doi:10.2903/j.efsa.2016.4515,,914566,ToxVal00035_d59b0eb5b8d2ae1f
,Phenmedipham,13684-63-4,Cc1cccc(NC(Oc2cc(NC(OC)=O)ccc2)=O)c1,DTXSID1024255,,170,170_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,104.8,ug/piece,300.313,0.0003,3.4572,,Peer review of the pesticide risk assessment of the active substance phenmedipham 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5151,,914575,ToxVal00035_fc890021611b172d
,Phenmedipham,13684-63-4,Cc1cccc(NC(Oc2cc(NC(OC)=O)ccc2)=O)c1,DTXSID1024255,,171,171_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,300.313,0.0003,3.4776,,Peer review of the pesticide risk assessment of the active substance phenmedipham 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5151,,914576,ToxVal00035_fc890021611b172d
,Maleic hydrazide,123-33-1,NNC(/C=C\C(O)=O)=O,DTXSID9020792,,172,172_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,1493,mg/kg,130.103,0.0115,1.9402,,Peer review of the pesticide risk assessment of the active substance maleic hydrazide 20160609,https://doi.org/doi:10.2903/j.efsa.2016.4492,,914583,ToxVal00035_915a7bde66637520
,Chloridazon,1698-60-8,NC(C=NN(c1ccccc1)C1=O)=C1Cl,DTXSID3034872,,173,173_EFSADB,EFSA,EFSA,acute,human health,rat,oral,=,825,mg/kg,221.647,0.0037,2.4292,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance chloridazon 20070813,https://doi.org/doi:10.2903/j.efsa.2007.108r,,914586,ToxVal00035_2bec23461c104b9a
,Carbetamide,16118-49-3,CCNC(C(C)OC(Nc1ccccc1)=O)=O,DTXSID7041756,,174,174_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,63.22,ug/piece,236.27,0.0003,3.5726,,Conclusion on the peer review of the pesticide risk assessment of the active substance carbetamide 20101214,https://doi.org/doi:10.2903/j.efsa.2010.1913,,914588,ToxVal00035_4aca1ed87673370c
,Trifluralin,1582-09-8,CCCN(CCC)c(c([N+]([O-])=O)cc(C(F)(F)F)c1)c1[N+]([O-])=O,DTXSID4021395,,175,175_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,80,ug/piece,335.281,0.0002,3.6223,,Peer review of the pesticide risk assessment of the active substance trifluralin 20090805,https://doi.org/doi:10.2903/j.efsa.2009.327r,,914590,ToxVal00035_df77d61a48ab4a04
,Pyriproxyfen,95737-68-1,CC(COc(cc1)ccc1Oc1ccccc1)Oc1ncccc1,DTXSID1032640,,176,176_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,74,ug/piece,321.375,0.0002,3.6378,,Peer review of the pesticide risk assessment of the active substance pyriproxyfen 20190717,https://doi.org/doi:10.2903/j.efsa.2019.5732,,914591,ToxVal00035_85cb3bf8cca2a030
,Pyriproxyfen,95737-68-1,CC(COc(cc1)ccc1Oc1ccccc1)Oc1ncccc1,DTXSID1032640,,177,177_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,321.375,0.0003,3.5070,,Peer review of the pesticide risk assessment of the active substance pyriproxyfen 20190717,https://doi.org/doi:10.2903/j.efsa.2019.5732,,914592,ToxVal00035_85cb3bf8cca2a030
,1-Methylcyclopropene,3100-04-7,CC1=CC1,DTXSID2035643,,178,178_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,81,mg/kg-day,54.0916,0.0015,2.8246,,Peer review of the pesticide risk assessment of the active substance 1-methylcyclopropene 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5308,,914598,ToxVal00035_4346fb283b0c5ea1
,Pyroxsulam,422556-08-9,COc1cc(OC)nc2nc(NS(c(c(C(F)(F)F)ccn3)c3OC)(=O)=O)n[n]12,DTXSID7044344,,179,179_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,390,mg/kg-day,434.354,0.0009,3.0468,,Conclusion on the peer review of the pesticide risk assessment of the active substance pyroxsulam. 20130430,https://doi.org/doi:10.2903/j.efsa.2013.3182,,914599,ToxVal00035_32b692f1976109da
,Propiconazole,-,CCCC1OC(C[n]2ncnc2)(c(ccc(Cl)c2)c2Cl)OC1,NODTXSID,,180,180_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,203.4,ug/piece,342.225,0.0006,3.2260,,Peer review of the pesticide risk assessment of the active substance propiconazole 20170712,https://doi.org/doi:10.2903/j.efsa.2017.4887,,914603,ToxVal00035_34de26b570f46267
,Propiconazole,-,CCCC1OC(C[n]2ncnc2)(c(ccc(Cl)c2)c2Cl)OC1,NODTXSID,,181,181_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,46.3,ug/piece,342.225,0.0001,3.8687,,Peer review of the pesticide risk assessment of the active substance propiconazole 20170712,https://doi.org/doi:10.2903/j.efsa.2017.4887,,914604,ToxVal00035_34de26b570f46267
,beta-Cyfluthrin,1820573-27-0,CC(C)(C1C=C(Cl)Cl)C1C(OC(c(cc1)cc(Oc2ccccc2)c1F)C#N)=O,DTXSID8032330,,182,182_EFSADB,EFSA,EFSA,acute,eco,bobwhite quail,oral,>,58.6,mg/kg-day,434.293,0.0001,3.8699,,Peer review of the pesticide risk assessment of the active substance beta-cyfluthrin 20180914,https://doi.org/doi:10.2903/j.efsa.2018.5405,,914607,ToxVal00035_70c0e547b7f4226b
,beta-Cyfluthrin,1820573-27-0,CC(C)(C1C=C(Cl)Cl)C1C(OC(c(cc1)cc(Oc2ccccc2)c1F)C#N)=O,DTXSID8032330,,183,183_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,8.79,mg/kg-day,434.293,0.0000,4.6938,,Peer review of the pesticide risk assessment of the active substance beta-cyfluthrin 20180914,https://doi.org/doi:10.2903/j.efsa.2018.5405,,914608,ToxVal00035_70c0e547b7f4226b
,Quartz sand,-,O=[Si]=O,NODTXSID,,184,184_EFSADB,EFSA,EFSA,acute,human health,rat,oral,>,10000,mg/kg,60.084,0.1664,0.7788,,Conclusion on the peer review of the pesticide risk assessment of the active substance quartz sand 20110722,https://doi.org/doi:10.2903/j.efsa.2011.2300,,914609,ToxVal00035_5c50e102c61e2289
,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,135410-20-7,C/C(\N(C)Cc(cc1)cnc1Cl)=N\C#N,DTXSID0034300,,185,185_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,8.85,ug/piece,222.678,0.0000,4.4007,,Peer review of the pesticide risk assessment of the active substance acetamiprid 20161111,https://doi.org/doi:10.2903/j.efsa.2016.4610,,914612,ToxVal00035_0de98d9c8df864b4
,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,135410-20-7,C/C(\N(C)Cc(cc1)cnc1Cl)=N\C#N,DTXSID0034300,,186,186_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,9.26,ug/piece,222.678,0.0000,4.3811,,Peer review of the pesticide risk assessment of the active substance acetamiprid 20161111,https://doi.org/doi:10.2903/j.efsa.2016.4610,,914613,ToxVal00035_0de98d9c8df864b4
