Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,"Propanoic acid, 2-methyl-, methyl ester",547-63-7,CC(C)C(OC)=O,DTXSID5060275,,1,1_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,16000,mg/kg,102.132,0.1567,0.8050,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Patty, 1982a) (Patty, 1982a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59978,ToxVal00036_2816dfcd3dba842d
,Ethyl isobutyrate,97-62-1,CCOC(C(C)C)=O,DTXSID7047728,,2,2_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,116.159,0.0430,1.3661,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1975b) (Moreno, 1975b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59979,ToxVal00036_e613b17a2bf34621
,Propyl isobutyrate,644-49-5,CCCOC(C(C)C)=O,DTXSID30214653,,3,3_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,15000,mg/kg,130.186,0.1152,0.9385,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59980,ToxVal00036_10a8d4f551aa6afe
,"Propanoic acid, 2-methyl-, butyl ester",97-87-0,CCCCOC(C(C)C)=O,DTXSID9073888,,4,4_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,144.213,0.0347,1.4600,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1974a) (Levenstein, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59981,ToxVal00036_80f35e90819c837c
,Hexyl isobutyrate,2349-07-7,CCCCCCOC(C(C)C)=O,DTXSID2047519,,5,5_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,172.267,0.0290,1.5372,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59982,ToxVal00036_245071b0414d7e1f
,"Propanoic acid, 2-methyl-, octyl ester",109-15-9,CCCCCCCCOC(C(C)C)=O,DTXSID6059364,,6,6_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,200.321,0.0250,1.6028,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1974a) (Levenstein, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59983,ToxVal00036_314fb1a6f2a1b88f
,Isobutyl isobutyrate,97-85-8,CC(C)COC(C(C)C)=O,DTXSID6026612,,7,7_EFSA2DB,EFSA2,-,acute,human health,"rat,mouse",oral,=,12800,mg/kg,144.213,0.0888,1.0518,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Patty, 1982a) (Patty, 1982a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59984,ToxVal00036_7e44a902ef6355d6
,"Butanoic acid, 3-methyl-, methyl ester",556-24-1,CC(C)CC(OC)=O,DTXSID5060300,,8,8_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,5690,mg/kg,116.159,0.0490,1.3099,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59985,ToxVal00036_35e36831b551f550
,Ethyl isovalerate,108-64-5,CCOC(CC(C)C)=O,DTXSID3047057,,9,9_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,130.186,0.0384,1.4156,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Levenstein, 1976a) (Levenstein, 1976a)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59986,ToxVal00036_00df1fa0b38b9010
,Ethyl isovalerate,108-64-5,CCOC(CC(C)C)=O,DTXSID3047057,,10,10_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,7030,mg/kg,130.186,0.0540,1.2676,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59987,ToxVal00036_00df1fa0b38b9010
,Propyl isovalerate,557-00-6,CCCOC(CC(C)C)=O,DTXSID70204230,,11,11_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,8220,mg/kg,144.213,0.0570,1.2441,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59988,ToxVal00036_28cd5ad6e3eab734
,Butyl 3-methylbutanoate,109-19-3,CCCCOC(CC(C)C)=O,DTXSID9047621,,12,12_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,158.24,0.0316,1.5003,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59989,ToxVal00036_b6ef9947a505477f
,Butyl 3-methylbutanoate,109-19-3,CCCCOC(CC(C)C)=O,DTXSID9047621,,13,13_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,8230,mg/kg,158.24,0.0520,1.2839,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59990,ToxVal00036_b6ef9947a505477f
,"Butanoic acid, 3-methyl-, 2-methylpropyl ester",589-59-3,CC(C)CC(OCC(C)C)=O,DTXSID5060431,,14,14_EFSA2DB,EFSA2,-,acute,human health,rabbit,oral,=,5000,mg/kg,158.24,0.0316,1.5003,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Munch, 1972) (Munch, 1972)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59991,ToxVal00036_35ab80a68c774834
,"Butanoic acid, 3-methyl-, 2-methylpropyl ester",589-59-3,CC(C)CC(OCC(C)C)=O,DTXSID5060431,,15,15_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,6970,mg/kg,158.24,0.0440,1.3561,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59992,ToxVal00036_35ab80a68c774834
,2-Methylbutyl isovalerate,2445-77-4,CCC(C)COC(CC(C)C)=O,DTXSID4041440,,16,16_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,172.267,0.0290,1.5372,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59993,ToxVal00036_84d6ad14195927bc
,Hexyl 2-methylbutanoate,10032-15-2,CCCCCCOC(C(C)CC)=O,DTXSID4047599,,17,17_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,186.294,0.0268,1.5712,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59994,ToxVal00036_4ea0e1add21620d0
,"Butanoic acid, 2-methyl-, 3-hexen-1-yl ester",10094-41-4,CCC(C)C(OCCC=CCC)=O,DTXSID50860656,,18,18_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,184.278,0.0271,1.5665,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59995,ToxVal00036_7d96e14d2027185a
,"Pentanal, 4-methyl-",1119-16-0,CC(C)CCC=O,DTXSID8061509,,19,19_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5660,mg/kg,100.16,0.0565,1.2479,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Smyth et al., 1962) (Smyth et al., 1962)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59996,ToxVal00036_4c518f2f01867f06
,Ethyl 3-methylpentanoate,5870-68-8,CCC(C)CC(OCC)=O,DTXSID00863637,,20,20_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,4000,mg/kg,144.213,0.0277,1.5569,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Biosphere Research Center Inc., 1981) (Biosphere Research Center Inc., 1981)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59997,ToxVal00036_45d657b76071e473
,2-Methyldecanal,19009-56-4,CCCCCCCCC(C)C=O,DTXSID5021623,,21,21_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,170.295,0.0294,1.5322,"EFSA Group 01 Rev. 2 Oral acute toxicity data for candidate and supporting substances (Moreno, 1975p) (Moreno, 1975p)",http://www.efsa.europa.eu/en/efsajournal/pub/1843,59998,ToxVal00036_03b491904000ae41
,4-Pentenoic acid,591-80-0,C=CCCC(O)=O,DTXSID0044448,,22,22_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,610,mg/kg,100.117,0.0061,2.2152,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,59999,ToxVal00036_0267897b7bd30a24
,4-Pentenoic acid,591-80-0,C=CCCC(O)=O,DTXSID0044448,,23,23_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,470,mg/kg,100.117,0.0047,2.3284,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Jenner et al., 1964) (Jenner et al., 1964)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60000,ToxVal00036_0267897b7bd30a24
,(Z)-3-Hexen-1-ol,928-96-1,CC/C=C\CCO,DTXSID6022137,,24,24_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,7000,mg/kg,100.16,0.0699,1.1556,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Gaunt et al., 1969) (Gaunt et al., 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60001,ToxVal00036_63a1a74ec110c916
,(Z)-3-Hexen-1-ol,928-96-1,CC/C=C\CCO,DTXSID6022137,,25,25_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,7200,mg/kg,100.16,0.0719,1.1434,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Gaunt et al., 1969) (Gaunt et al., 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60002,ToxVal00036_63a1a74ec110c916
,(Z)-3-Hexen-1-ol,928-96-1,CC/C=C\CCO,DTXSID6022137,,26,26_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,4700,mg/kg,100.16,0.0469,1.3286,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1973b) (Moreno, 1973b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60003,ToxVal00036_63a1a74ec110c916
,(Z)-3-Hexen-1-ol,928-96-1,CC/C=C\CCO,DTXSID6022137,,27,27_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,10100,mg/kg,100.16,0.1008,0.9964,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Gaunt et al., 1969) (Gaunt et al., 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60004,ToxVal00036_63a1a74ec110c916
,(Z)-3-Hexen-1-ol,928-96-1,CC/C=C\CCO,DTXSID6022137,,28,28_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,7300,mg/kg,100.16,0.0729,1.1374,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Gaunt et al., 1969) (Gaunt et al., 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60005,ToxVal00036_63a1a74ec110c916
,"3-Hexenal, (3Z)-",6789-80-6,CC/C=C\CC=O,DTXSID30884335,,29,29_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,98.1444,0.0509,1.2929,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Palanker & Lewis, 1979) (Palanker & Lewis, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60006,ToxVal00036_5c36034d20ba3089
,"3-Hexenal, (3Z)-",6789-80-6,CC/C=C\CC=O,DTXSID30884335,,30,30_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,1560,mg/kg,98.1444,0.0159,1.7987,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Palanker & Lewis, 1979) (Palanker & Lewis, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60007,ToxVal00036_5c36034d20ba3089
,3-Hexenoic acid,4219-24-3,CCC=CCC(O)=O,DTXSID5063362,,31,31_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,1840,mg/kg,114.143,0.0161,1.7926,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Senior & Sherratt, 1969) (Senior & Sherratt, 1969)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60008,ToxVal00036_db4f36aa8690d83b
,(Z)-Non-6-enal,2277-19-2,CC/C=C\CCCCC=O,DTXSID4051879,,32,32_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,5000,mg/kg,140.225,0.0357,1.4479,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1978b) (Moreno, 1978b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60009,ToxVal00036_4626ab0b72d1c66e
,10-Undecen-1-al,112-45-8,C=CCCCCCCCCC=O,DTXSID3037757,,33,33_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5001,mg/kg,168.279,0.0297,1.5270,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Hart & Wong, 1971) (Hart & Wong, 1971)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60010,ToxVal00036_0d7cc8bb8192c9c0
,10-Undecenoic acid,112-38-9,C=CCCCCCCCCC(O)=O,DTXSID8035001,,34,34_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,8150,mg/kg,184.278,0.0442,1.3543,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Newell et al., 1949) (Newell et al., 1949)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60011,ToxVal00036_4803567e06b59b2f
,10-Undecenoic acid,112-38-9,C=CCCCCCCCCC(O)=O,DTXSID8035001,,35,35_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,2300,mg/kg,184.278,0.0125,1.9037,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Tislow et al., 1950) (Tislow et al., 1950)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60012,ToxVal00036_4803567e06b59b2f
,10-Undecenoic acid,112-38-9,C=CCCCCCCCCC(O)=O,DTXSID8035001,,36,36_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,2500,mg/kg,184.278,0.0136,1.8675,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Tislow et al., 1950) (Tislow et al., 1950)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60013,ToxVal00036_4803567e06b59b2f
,Oleic acid,112-80-1,CCCCCCCC/C=C\CCCCCCCC(O)=O,DTXSID1025809,,37,37_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,282.466,0.0177,1.7520,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60014,ToxVal00036_02a86fc660e20305
,Oleic acid,112-80-1,CCCCCCCC/C=C\CCCCCCCC(O)=O,DTXSID1025809,,38,38_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,19000,mg/kg,282.466,0.0673,1.1722,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Briggs et al., 1976) (Briggs et al., 1976)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60015,ToxVal00036_02a86fc660e20305
,Methyl crotonate,18707-60-3,C/C=C/C(OC)=O,DTXSID30862315,,39,39_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,3200,mg/kg,100.117,0.0320,1.4954,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (MFRM, 1979) (MFRM, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60016,ToxVal00036_8caafa990093e1dd
,Methyl crotonate,18707-60-3,C/C=C/C(OC)=O,DTXSID30862315,,40,40_EFSA2DB,EFSA2,-,acute,human health,mouse,-,=,1600,mg/kg,100.117,0.0160,1.7964,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (MFRM, 1979) (MFRM, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60017,ToxVal00036_8caafa990093e1dd
,"4,7-Octadienoic acid, ethyl ester, (Z)-",69925-33-3,CCOC(CC/C=C\CC=C)=O,DTXSID501278106,,41,41_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,10000,mg/kg,168.235,0.0594,1.2259,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Mondino, 1979) (Mondino, 1979)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60018,ToxVal00036_284f28d4b1d57668
,"9-Undecenoic acid, methyl ester",5760-50-9,CC=CCCCCCCCC(OC)=O,DTXSID5063998,,42,42_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,3000,mg/kg,198.305,0.0151,1.8202,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60019,ToxVal00036_fb8a1c60919021cb
,Ethyl undec-10-enoate,692-86-4,CCOC(CCCCCCCCC=C)=O,DTXSID4044828,,43,43_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,212.332,0.0235,1.6280,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60020,ToxVal00036_fc3eeb49bd606976
,Butyl undec-10-enoate,109-42-2,CCCCOC(CCCCCCCCC=C)=O,DTXSID4047624,,44,44_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,240.385,0.0208,1.6819,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Moreno, 1977b) (Moreno, 1977b)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60021,ToxVal00036_5d9199aedee94885
,Ethyl oleate,111-62-6,CCCCCCCC/C=C\CCCCCCCC(OCC)=O,DTXSID3047633,,45,45_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,310.52,0.0161,1.7931,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Bailey, 1976d) (Bailey, 1976d)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60022,ToxVal00036_1f1d519362ac0bd2
,"2,6-Dimethylhept-5-enal",106-72-9,CC(CCC=C(C)C)C=O,DTXSID8044753,,46,46_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,140.225,0.0357,1.4479,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Levenstein, 1974a) (Levenstein, 1974a)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60023,ToxVal00036_a9011ec142065b68
,"2,6-Dimethylhept-5-enal",106-72-9,CC(CCC=C(C)C)C=O,DTXSID8044753,,47,47_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,4550,mg/kg,140.225,0.0324,1.4888,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Mayyasi et al., 1981) (Mayyasi et al., 1981)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60024,ToxVal00036_a9011ec142065b68
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,48,48_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,8400,mg/kg,100.117,0.0839,1.0762,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Deichmann, 1941) (Deichmann, 1941)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60025,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,49,49_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,7872,mg/kg,100.117,0.0786,1.1044,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Deichmann, 1941) (Deichmann, 1941)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60026,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,50,50_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,9400,mg/kg,100.117,0.0939,1.0274,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Spealman et al., 1945) (Spealman et al., 1945)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60027,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,51,51_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,7900,mg/kg,100.117,0.0789,1.1029,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Deichmann, 1941) (Deichmann, 1941)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60028,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,52,52_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,8000,mg/kg,100.117,0.0799,1.0974,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (ACGIH, 1986) (ACGIH, 1986)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60029,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,53,53_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,8500,mg/kg,100.117,0.0849,1.0711,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Ouyang et al., 1988) (Ouyang et al., 1988)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60030,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,54,54_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,7800,mg/kg,100.117,0.0779,1.1084,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (ACGIH, 1991) (ACGIH, 1991)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60031,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,55,55_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,2000,mg/kg,100.117,0.0200,1.6995,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Dow Chemical Company, 1957) (Dow Chemical Company, 1957)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60032,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,56,56_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,8460,mg/kg,100.117,0.0845,1.0731,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (DuPont, 1989) (DuPont, 1989)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60033,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,57,57_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,3200,mg/kg,100.117,0.0320,1.4954,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Eastman Kodak Co., 1965) (Eastman Kodak Co., 1965)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60034,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,58,58_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5000,mg/kg,100.117,0.0499,1.3015,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Rohm & Haas Co., 1982) (Rohm & Haas Co., 1982)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60035,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,59,59_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,3625,mg/kg,100.117,0.0362,1.4412,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Gigiena, 1976) (Gigiena, 1976)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60036,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,60,60_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5300,mg/kg,100.117,0.0529,1.2762,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Lawrence et al., 1974) (Lawrence et al., 1974)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60037,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,61,61_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5200,mg/kg,100.117,0.0519,1.2845,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Tanii & Hashimoto, 1982) (Tanii & Hashimoto, 1982)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60038,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,62,62_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,5200,mg/kg,100.117,0.0519,1.2845,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Schwach & Hofer, 1978) (Schwach & Hofer, 1978)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60039,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,63,63_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,6550,mg/kg,100.117,0.0654,1.1843,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (Deichmann, 1941) (Deichmann, 1941)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60040,ToxVal00036_50e1c724084e61ff
,Methyl methacrylate,80-62-6,CC(C(OC)=O)=C,DTXSID2020844,,64,64_EFSA2DB,EFSA2,-,acute,human health,rat,-,=,6000,mg/kg,100.117,0.0599,1.2224,"EFSA Group 05 Rev. 2 Acute oral toxicity data for candidate and supporting substances (ACGIH, 1986) (ACGIH, 1986)",http://www.efsa.europa.eu/en/efsajournal/pub/1400,60041,ToxVal00036_50e1c724084e61ff
