Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenado,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,Reference DB source,URL,ToxVal_ID,Chemical_ID
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,197,197_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1670,mg/kg,114.187,0.0146,1.8349,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1962) Smyth et al. (1962),http://www.efsa.europa.eu/en/topics/topic/flavourings,60174,ToxVal00036_eda65dd4f6c769f4
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,198,198_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,2407,mg/kg,114.187,0.0211,1.6761,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60175,ToxVal00036_eda65dd4f6c769f4
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,199,199_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,1088,mg/kg,114.187,0.0095,2.0210,EFSA Group 07 Rev 5 Acute Toxicity Data Schafer and Bowles (1985) Schafer and Bowles (1985),http://www.efsa.europa.eu/en/topics/topic/flavourings,60176,ToxVal00036_eda65dd4f6c769f4
,2-Heptanone,110-43-0,CCCCCC(C)=O,DTXSID5021916,,200,200_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,730,mg/kg,114.187,0.0064,2.1943,EFSA Group 07 Rev 5 Acute Toxicity Data Srepel and Akacic (1962) Srepel and Akacic (1962),http://www.efsa.europa.eu/en/topics/topic/flavourings,60177,ToxVal00036_eda65dd4f6c769f4
,2-Heptanol,543-49-7,CCCCCC(C)O,DTXSID1047158,,201,201_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2580,mg/kg,116.203,0.0222,1.6536,EFSA Group 07 Rev 5 Acute Toxicity Data Eder et al. (1982) Eder et al. (1982),http://www.efsa.europa.eu/en/topics/topic/flavourings,60178,ToxVal00036_a9994add2d11e5d3
,3-Heptanone,106-35-4,CCCCC(CC)=O,DTXSID2047438,,202,202_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,2760,mg/kg,114.187,0.0242,1.6167,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1949) Smyth et al. (1949),http://www.efsa.europa.eu/en/topics/topic/flavourings,60179,ToxVal00036_56cb80b49ad3f466
,3-Heptanol,589-82-2,CCCCC(CC)O,DTXSID50862251,,203,203_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,1870,mg/kg,116.203,0.0161,1.7934,EFSA Group 07 Rev 5 Acute Toxicity Data Smyth et al. (1951) Smyth et al. (1951),http://www.efsa.europa.eu/en/topics/topic/flavourings,60180,ToxVal00036_e0ded3d3e61c022b
,4-Heptanone,123-19-3,CCCC(CCC)=O,DTXSID6047650,,204,204_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,3049,mg/kg,114.187,0.0267,1.5735,EFSA Group 07 Rev 5 Acute Toxicity Data Carpenter et al. (1974) Carpenter et al. (1974),http://www.efsa.europa.eu/en/topics/topic/flavourings,60181,ToxVal00036_140718a61c06d00e
,2-Octanone,111-13-7,CCCCCCC(C)=O,DTXSID4021927,,205,205_EFSA2DB,EFSA2,-,acute,human health,rat,oral,=,5000,mg/kg,128.214,0.0390,1.4090,EFSA Group 07 Rev 5 Acute Toxicity Data Katz et al. (1980) Katz et al. (1980),http://www.efsa.europa.eu/en/topics/topic/flavourings,60182,ToxVal00036_8007a3058bfbd34b
,2-Octanone,111-13-7,CCCCCCC(C)=O,DTXSID4021927,,206,206_EFSA2DB,EFSA2,-,acute,human health,mouse,oral,=,3823,mg/kg,128.214,0.0298,1.5255,EFSA Group 07 Rev 5 Acute Toxicity Data Tanii et al. (1986) Tanii et al. (1986),http://www.efsa.europa.eu/en/topics/topic/flavourings,60183,ToxVal00036_8007a3058bfbd34b
