Selected_Features
MinEStateIndex
AvgIpc
HallKierAlpha
Kappa3
PEOE_VSA1
PEOE_VSA3
PEOE_VSA5
PEOE_VSA6
PEOE_VSA7
PEOE_VSA9
SMR_VSA10
SMR_VSA2
SMR_VSA3
SMR_VSA5
SMR_VSA9
SlogP_VSA12
SlogP_VSA2
EState_VSA1
EState_VSA11
EState_VSA6
EState_VSA7
EState_VSA8
VSA_EState10
VSA_EState9
FractionCSP3
NumAliphaticCarbocycles
NumAliphaticHeterocycles
NumAromaticCarbocycles
NumAromaticHeterocycles
NumHeteroatoms
NumSaturatedCarbocycles
NumSaturatedHeterocycles
NumSpiroAtoms
MolLogP
fr_NH2
fr_alkyl_halide
fr_bicyclic
fr_epoxide
fr_furan
fr_guanido
fr_ketone_Topliss
fr_nitro_arom
fr_nitro_arom_nonortho
fr_phos_acid
fr_piperdine
fr_priamide
