PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0005215015 uM,Activity at 0.00156 uM,Activity at 0.00466 uM,Activity at 0.00590 uM,Activity at 0.014 uM,Activity at 0.042 uM,Activity at 0.068 uM,Activity at 0.127 uM,Activity at 0.378 uM,Activity at 0.782 uM,Activity at 1.156 uM,Activity at 3.420 uM,Activity at 5.843 uM,Activity at 10.21 uM,Activity at 30.24 uM,Activity at 43.68 uM,Activity at 92.27 uM,Activity at 218.9 uM,Activity at 489.4 uM,Activity at 1094.5 uM,Activity at 2447.4 uM,Activity at 5811.1 uM,Activity at 12995.4 uM,Activity at 29059.9 uM,Activity at 64977.0 uM,Compound QC
2182,26757180,37175,C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163778-01/37963151,,Inactive,,,,0,,-4.2,1.9673,0.8735,18,0.0091,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13.1663,,-0.3521,-0.1288,1.7957,2.8792,0.7513,-2.4924,-1.4784,-0.0882,0.1421,-0.4539,0.0637,1.4736,,2.319,4.7961,13.1663,,,,,,,,,QC'd by EPA
2183,26757182,153909,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163779-01/37964120,,Inactive,,,,0,,,,,,,4,,0.2486,,-0.0909,0.0133,0.0733,0.2818,1.3797,-0.6373,0.0111,-1.2313,-0.9335,-0.1517,0.8093,-0.7632,,1.467,-0.6081,0.2486,,,,,,,,,QC'd by EPA
2184,26757183,44134377,CC[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/C[C@H](/C=C/C=C4CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)\C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163780-01/37963274,,Inactive,,,,0,,-4.5,4.9549,0.9104,18,-0.4236,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-11.8827,,-0.024,-1.6888,0.1724,1.129,0.3472,-2.6228,-1.5701,0.0918,-0.3907,-2.853,0.7867,0.2277,,0.7719,14.0434,-11.8827,,,,,,,,,QC'd by EPA
2185,26757184,16760149,C1[C@@H](CO[C@]1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163781-01/37964056,,Inactive,,,,0,,,,,,,4,,-0.9804,,-0.0116,0.1789,1.4197,-0.1471,-0.2093,-2.9189,-2.9518,-0.8563,-0.811,-1.2821,0.1663,-0.7385,,0.9372,-1.5207,-0.9804,,,,,,,,,QC'd by EPA
2186,26757185,16760149,C1[C@@H](CO[C@]1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163781-02/37964058,,Inactive,,,,0,,-4.4,0.9641,0.5258,3.5,-1.8276,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7777,,-2.1739,-0.0485,-1.7528,-3.1897,-2.2124,-0.1786,-2.9344,-2.52,-1.3619,-1.9227,0.4941,-2.5732,,0.3038,1.0582,1.7777,,,,,,,,,QC'd by EPA
2187,26757187,5281875,CC1(CN=C(NC1)NN=C(/C=C/C2=CC=C(C=C2)C(F)(F)F)/C=C/C3=CC=C(C=C3)C(F)(F)F)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163783-01/37963554,,Inactive,,,,0,,-4.5,4.9549,0.6124,-14.7152,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.2594,,1.0306,-0.0024,1.2851,0.4744,-1.3644,-5.4876,-1.6722,-0.0289,-1.7548,-1.0602,2.6372,2.8568,,10.9917,-13.9294,-13.2594,,,,,,,,,QC'd by EPA
2188,26757188,6125184,C/C(=N\NC(=O)NC1=CC(=CC(=C1)F)F)/C2=C(C=CC=N2)C(=O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163784-01/37963994,,Inactive,,,,0,,-7.5,4.9549,0.8039,-1.6345,0.5,4,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1,0.3123,,0.4045,0.8685,0.9696,0.3709,-0.4757,-2.1737,-2.4033,-1.4552,-0.6293,-2.6121,1.065,0.5698,,0.932,-1.9124,0.3123,,,,,,,,,QC'd by EPA
2189,26757189,135665275,CCC/C(=N\OCC)/C1=C(CC(CC1=O)(CC(C)S(=O)(=O)CC)O)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163785-01/37963204,,Inactive,,,,0,,-4.5,1.1,0.5735,4,-0.2592,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.1931,,-0.1804,-0.1119,0.2022,1.1309,-0.0574,-2.2994,-0.225,0.1678,-0.6826,1.1337,0.1563,-0.0994,,0.144,2.6247,3.1931,,,,,,,,,QC'd by EPA
2190,26757190,5053,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163786-01/37963749,,Inactive,,,,0,,-3.85,0.5,0.6732,8,-0.9617,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.9592,,-1.0419,-1.8883,-0.2611,-0.4336,-0.0772,-2.0514,-0.1806,-0.315,-0.1793,-0.4938,1.751,-0.0219,,1.6988,0.6587,3.9592,,,,,,,,,QC'd by EPA
2191,26757191,13526,CCSCCSP(=O)(OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163787-01/37963357,,Inactive,,,,0,,,,,,,4,,-0.5259,,-0.4353,-0.6438,-0.831,1.7721,0.3794,-1.5666,-2.0982,1.195,0.6588,-1.5443,1.6238,-1.5186,,0.3898,0.1498,-0.5259,,,,,,,,,QC'd by EPA
