PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,Agonist_Activity,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0005215015 uM,Activity at 0.00156 uM,Activity at 0.00466 uM,Activity at 0.00590 uM,Activity at 0.014 uM,Activity at 0.042 uM,Activity at 0.068 uM,Activity at 0.127 uM,Activity at 0.378 uM,Activity at 0.782 uM,Activity at 1.156 uM,Activity at 3.420 uM,Activity at 5.843 uM,Activity at 10.21 uM,Activity at 30.24 uM,Activity at 43.68 uM,Activity at 92.27 uM,Activity at 218.9 uM,Activity at 489.4 uM,Activity at 1094.5 uM,Activity at 2447.4 uM,Activity at 5811.1 uM,Activity at 12995.4 uM,Activity at 29059.9 uM,Activity at 64977.0 uM,Compound QC
1,26752812,9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active,100,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090832-02/37963824,,Activator,2.5119,523.681,,100,Complete curve; high efficacy,-5.6,2.3332,0.9907,537.683,14.0022,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,560.417,,0.4547,0.3304,2.7498,5.0298,9.4564,12.5118,31.0143,43.062,61.5637,147.682,370.568,548.912,,530.308,484.438,560.417,,,,,,,,,QC'd by SigmaAldrich
2,17389160,9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,Active,99,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07930266-01/37961023,,Activator,2.8184,359.931,,99,Complete curve; high efficacy,-5.55,1.8851,0.997,370.517,10.5862,1.1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,234.132,0.1262,,1.6614,,6.0361,9.7923,11.2473,19.9757,26.4652,48.6993,115.051,,263.228,336.894,352.999,147.221,234.132,,,,,,,,,QC'd by NIEHS/NTP
3,26752824,9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active,93,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090866-02/37963870,,Activator,10,518.743,,93,Complete curve; high efficacy,-5,1.9282,0.9966,520.872,2.1286,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,498.439,,0.911,0.2678,0.0452,1.993,1.3154,-2.3998,0.2896,4.1133,8.37,22.5654,89.951,191.588,,419.68,498.295,498.439,,,,,,,,,QC'd by SigmaAldrich
4,26752211,644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,92,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00025193-06/37964005,,Activator,14.1254,677.102,,92,Complete curve; high efficacy,-4.85,1.5936,0.9971,680.413,3.3103,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,680.336,,0.1748,-0.0765,1.317,1.6668,1.0726,0.7806,1.3281,2.8139,7.5946,29.3152,83.8329,193.855,,434.25,558.466,680.336,,,,,,,,,QC'd by SigmaAldrich
5,26757484,8530,C1=CC=C2C(=O)C=CC(=O)C2=C1,Active,85,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164067-01/37962880,,Activator,15.8489,322.696,,85,Complete curve; high efficacy,-4.8,2.1211,0.9924,325.37,2.6742,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,323.532,,-0.5972,-0.9647,-0.3076,0.1127,-0.8019,-1.8386,-0.5993,0.6127,0.6481,9.7588,42.3673,69.6598,,172.673,303.304,323.532,,,,,,,,,QC'd by SigmaAldrich
6,26752901,9223,C1=CC=C2C(=C1)C=CO2,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091088-02/37963106,,Activator,1258.93,518.619,,82,Partial curve; high efficacy,-2.9,2.7202,0.9773,527.125,8.5065,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,455.909,,,,,,0.4576,0.5643,1.0728,1.5784,2.7045,-2.4606,0.5086,2.484,,4.34,7.6329,25.5833,35.8671,85.0162,165.674,455.909,,,,,QC'd by EPA
7,26753730,638024,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00094872-03/37962898,,Activator,14.1254,140.24,,82,Complete curve; high efficacy,-4.85,1.9282,0.9966,139.621,-0.6195,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,137.941,,-0.2021,0.5603,-1.132,-0.1443,-0.6365,-1.6797,0.1515,-1.3578,-0.7015,1.369,13.24,39.4951,,80.0967,129.12,137.941,,,,,,,,,QC'd by SigmaAldrich
8,26757659,5954,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,Active,82,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164242-01/37963706,,Activator,22.3872,285.476,,82,Complete curve; high efficacy,-4.65,1.9673,0.9966,285.502,0.0262,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,259.668,,-0.5181,-0.2703,-0.4695,-1.0646,0.0622,-0.6758,0.1128,1.3811,0.569,8.302,13.3905,27.7852,,115.443,231.408,259.668,,,,,,,,,QC'd by SigmaAldrich
9,26751461,6731,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active,77,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00021766-03/37963695,,Activator,7.0795,1125.94,,77,Partial curve; high efficacy,-5.15,1.331,0.9891,1125.94,0,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,1025.74,,2.668,2.161,4.1354,4.5965,4.9067,5.1605,20.9544,36.385,47.2819,93.8739,299.162,693.585,,814.77,410.735,1025.74,,,,,,,,,QC'd by SigmaAldrich
10,17390047,8341,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,Active,62,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080883-01/37961320,,Activator,14.1254,84.7751,,62,Complete curve; partial efficacy,-4.85,1,0.986,85.9476,1.1725,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,78.6764,0.4378,,0.4014,,0.405,0.825,0.6644,1.4907,2.7959,9.1465,12.3764,,23.5854,28.2674,46.5839,71.1851,78.6764,,,,,,,,,QC'd by NIEHS/NTP
11,26757501,17047,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)[N+](=O)[O-],Active,61,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164084-01/37963644,,Activator,17.7828,74.4931,,61,Complete curve; partial efficacy,-4.75,1.4787,0.9775,75.263,0.77,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,69.5553,,0.8363,-0.6236,-0.7087,0.2124,1.7169,-2.5188,-0.4772,1.5338,2.2894,6.1733,16.3339,15.2811,,34.154,63.9612,69.5553,,,,,,,,,QC'd by SigmaAldrich
12,17389941,5889,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,Active,57,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582942-01/37961242,,Activator,2.8184,328.288,,57,Partial curve; high efficacy,-5.55,1.9673,0.9964,332.827,4.5385,2.1,0 0 0 0 0 0 0 0 0 0 0 1 1 1,199.719,0.0452,,0.4226,,3.2724,4.2192,7.305,11.8915,19.1777,38.2689,90.3489,,230.149,302.615,244.045,100.448,199.719,,,,,,,,,QC'd by NIEHS/NTP
13,17389163,9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active,54,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07935028-01/37961351,,Activator,7.0795,429.751,,54,Partial curve; high efficacy,-5.15,2.3332,0.9964,431.714,1.9623,2.1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,251.716,0.3315,,0.736,,0.4341,1.8115,1.7442,2.8705,2.5822,12.0815,20.2814,,76.1193,294.092,392.798,114.933,251.716,,,,,,,,,QC'd by NIEHS/NTP
14,26757448,13297,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,Active,52,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164031-01/37962984,,Activator,14.1254,690.239,,52,Partial curve; high efficacy,-4.85,1.1,0.9878,699.013,8.7742,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,481.226,,0.6819,0.0742,2.3429,5.4536,8.2663,11.3434,20.7371,28.4142,44.286,84.8389,158.741,225.25,,381.657,585.022,481.226,,,,,,,,,QC'd by SigmaAldrich
15,26757537,671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,Active,50,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164120-01/37963532,,Activator,14.1254,554.193,,50,Partial curve; high efficacy,-4.85,1.9282,0.9897,561.998,7.8043,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-11.4221,,0.3547,1.3745,1.2602,0.5032,-1.019,-2.417,1.2458,2.9245,14.2945,39.2178,82.6746,141.734,,356.545,532.819,-11.4221,,,,,,,,,QC'd by SigmaAldrich
16,26756474,1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,Active,47,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163126-02/37963716,,Activator,8.9125,266.752,,47,Partial curve; high efficacy,-5.05,1.5579,0.98,270.645,3.8923,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,110.283,,-0.3795,0.2444,0.8247,0.0377,2.2702,2.6954,5.7708,11.0288,13.8503,27.5611,67.9895,105.099,,217.006,183.111,110.283,,,,,,,,,QC'd by SigmaAldrich
17,17389076,6731,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Active,46,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540602-01/37962119,,Activator,39.8107,1178.07,,46,Partial curve; high efficacy,-4.4,3.132,0.9751,1213.06,34.9922,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1167.74,1.3341,,1.6651,,3.6155,4.453,6.2968,11.4989,17.8646,34.3401,69.0662,,175.454,129.724,155.469,705.054,1167.74,,,,,,,,,QC'd by NIEHS/NTP
18,17389360,7264,CC1=CC(=C(C=C1)O)N,Active,46,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080867-01/37961076,,Activator,50.1187,550.505,,46,Partial curve; high efficacy,-4.3,3.132,0.9434,552.332,1.8277,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,616.083,-0.3175,,-0.0747,,-1.0483,0.0094,-0.0637,0.3006,0.2575,0.2931,0.9284,,5.0375,15.154,51.5078,196.282,616.083,,,,,,,,,QC'd by NIEHS/NTP
19,17388881,8749,CN(C)C1=CC=C(C=C1)N=O,Active,45,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08082706-01/37961909,,Activator,70.7946,309.71,,45,Partial curve; high efficacy,-4.15,2.4064,0.902,306.701,-3.0093,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,244.898,-0.3895,,1.0924,,-0.2736,-0.1488,0.4041,-0.1535,-0.4631,0.0213,-0.0015,,-0.1617,2.2619,6.3339,21.7473,244.898,,,,,,,,,QC'd by NIEHS/NTP
20,17389570,10680,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Active,44,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944081-01/37961044,,Activator,50.1187,371.493,,44,Partial curve; high efficacy,-4.3,3.0654,0.9604,375.445,3.9521,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,395.294,0.444,,0.4671,,0.2403,0.8401,0.089,0.4885,1.2096,2.1257,1.5753,,3.5108,11.7724,47.7288,140.876,395.294,,,,,,,,,QC'd by NIEHS/NTP
21,26752808,9570071,CC(C)(/C=N/OC(=O)NC)SC,Active,44,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090795-04/37963378,,Activator,39.8107,845.557,,44,Partial curve; high efficacy,-4.4,1.9282,0.9798,852.394,6.8378,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,774.145,,0.5656,-0.7594,0.6413,0.563,1.4345,-0.1824,1.9277,2.4774,1.5821,13.3263,27.7713,66.9348,,191.217,358.79,774.145,,,,,,,,,QC'd by EPA
22,26752852,10680,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,Active,44,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090962-02/37964112,,Activator,44.6684,514.992,,44,Partial curve; high efficacy,-4.35,3.0654,0.9638,517.112,2.1199,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,541.559,,-0.4429,-0.7289,-0.7804,0.5776,1.2141,-2.7695,-2.3979,-0.422,-1.5992,-0.0362,6.7494,16.3492,,71.7825,172.673,541.559,,,,,,,,,QC'd by SigmaAldrich
23,26752899,23668198,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],Active,44,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091080-02/37964051,,Activator,70.7946,209.276,,44,Partial curve; high efficacy,-4.15,2.4064,0.917,207.598,-1.6781,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,163.988,,-1.2363,-1.1272,-0.7162,-0.9026,2.3494,-2.0904,-1.99,-0.8139,0.1922,-1.3033,0.6234,2.4209,,4.6022,8.399,163.988,,,,,,,,,QC'd by SigmaAldrich
24,26753056,8689,C1=CC=C(C=C1)NN=NC2=CC=CC=C2,Active,44,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091555-02/37963413,,Activator,1.4125,63.1442,,44,Partial curve; partial efficacy,-5.85,1.3723,0.9927,63.7408,0.5966,2.2,0 0 0 0 0 0 0 0 0 0 0 1 1 1 1,43.4085,,2.2973,0.4569,-1.3161,1.8199,0.299,-0.8674,4.0586,10.3185,18.514,34.9921,51.9247,34.144,,41.8963,44.8444,43.4085,,,,,,,,,QC'd by SigmaAldrich
25,17388842,5801,C1=CC=C(C(=C1)N)O,Active,43,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07980848-01/37961392,,Activator,12.5893,146.373,,43,Partial curve; high efficacy,-4.9,4.9549,0.9947,147.273,0.8999,2.1,0 0 0 0 0 0 0 0 0 0 0 0 1 1,-8.7949,-0.4189,,-0.2124,,0.8819,-0.3297,-0.191,-0.1347,-0.1212,0.0074,4.3235,,6.4294,21.0961,139.841,-5.8518,-8.7949,,,,,,,,,QC'd by NIEHS/NTP
26,17388853,41684,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,42,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02540575-01/37962028,,Activator,0.7079,21.2975,,42,Complete curve; partial efficacy,-6.15,1.1,0.9716,21,-0.2975,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 1,19.5795,-0.2479,,0.0678,,0.1449,0.4667,0.7142,4.3737,5.1326,12.5361,14.2872,,20.5384,16.5512,19.7608,22.7493,19.5795,,,,,,,,,QC'd by NIEHS/NTP
27,17389363,7265,C1=CC(=C(C=C1Cl)N)O,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08080836-01/37961672,,Activator,44.6684,248.12,,42,Partial curve; high efficacy,-4.35,3.5117,0.9796,249.44,1.3198,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,264.222,0.3585,,0.2644,,1.0722,1.1491,0.6324,0.4297,0.6102,1.5141,0.8092,,2.1874,4.892,21.4831,113.86,264.222,,,,,,,,,QC'd by NIEHS/NTP
28,17389542,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07935671-01/37962014,,Activator,44.6684,246.279,,42,Partial curve; high efficacy,-4.35,1.9673,0.9531,254.039,7.76,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,230.675,-0.2692,,1.1819,,-0.0999,0.2188,0.6289,0.2928,3.8693,12.4736,20.7507,,26.8175,38.7711,61.4619,110.16,230.675,,,,,,,,,QC'd by NIEHS/NTP
29,17389992,6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509318-01/37961845,,Activator,39.8107,305.688,,42,Partial curve; high efficacy,-4.4,1.4781,0.9781,306.204,0.5155,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,254.536,-0.6336,,0.5256,,0.1381,0.0609,0.3282,0.7695,0.1241,0.1054,1.5833,,7.8255,25.7952,112.527,145.896,254.536,,,,,,,,,QC'd by NIEHS/NTP
30,17390046,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07976031-01/37961868,,Activator,44.6684,278.383,,42,Partial curve; high efficacy,-4.35,2.3332,0.9683,284.889,6.5058,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,272.363,-0.2581,,0.159,,0.2992,-0.0616,0.0861,0.7199,0.2006,4.2871,8.7994,,18.4432,31.1652,66.7318,132.565,272.363,,,,,,,,,QC'd by NIEHS/NTP
31,26752976,8691,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091334-03/37964127,,Activator,44.6684,278.537,,42,Partial curve; high efficacy,-4.35,2.7202,0.9727,280.125,1.5876,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,277.946,,2.3179,0.5859,2.5867,1.5367,-0.0438,-2.1785,2.477,-0.1417,-1.9411,0.0919,6.1467,15.9053,,37.0521,99.0969,277.946,,,,,,,,,QC'd by SigmaAldrich
32,26753085,7263,C1=CC(=C(C=C1Cl)N)N,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00091663-02/37963619,,Activator,39.8107,357.726,,42,Partial curve; high efficacy,-4.4,2.5334,0.9919,359.36,1.6342,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,340.757,,0.1356,-0.3069,-0.0127,1.7126,0.3039,-1.4903,-0.75,-0.0021,-0.5294,0.101,4.5929,12.1484,,60.902,169.444,340.757,,,,,,,,,QC'd by SigmaAldrich
33,26753613,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00094190-04/37963883,,Activator,1.4125,34.9533,,42,Complete curve; partial efficacy,-5.85,1.9673,0.9329,35.4844,0.5311,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,44.5833,,0.1545,0.5104,-0.4273,0.0089,-0.518,-0.7774,4.6201,4.1612,8.6941,17.0552,38.5952,28.5665,,33.5553,29.0651,44.5833,,,,,,,,,QC'd by SigmaAldrich
34,26757086,15106,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163705-01/37963300,,Activator,39.8107,427.224,,42,Partial curve; high efficacy,-4.4,1.2221,0.9753,431.364,4.1406,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,345.597,,0.361,0.2399,1.1594,0.4727,0.5956,-0.8805,0.765,1.1043,8.7181,20.876,53.6786,53.3548,,130.48,182.759,345.597,,,,,,,,,QC'd by EPA
35,26757403,9171,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,Active,42,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00163986-01/37963089,,Activator,11.2202,91.0684,,42,Partial curve; partial efficacy,-4.95,2.5334,0.984,92.3276,1.2593,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1,29.7228,,-0.7544,-1.0675,0.1501,0.3276,1.6376,-0.3196,-0.0534,1.8766,1.4091,5.2521,12.1305,25.3773,,73.5303,61.2925,29.7228,,,,,,,,,QC'd by SigmaAldrich
36,144204549,7594,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00090698-02/37963215,,Activator,12.5893,31.1951,,41,Complete curve; partial efficacy,-4.9,4.095,0.9652,31,-0.1951,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,35.962,,-0.1269,0.6383,-0.9325,-0.1367,2.3651,-2.2459,-1.2929,-0.2116,3.0948,-1.8016,0.8112,4.5444,,25.7075,26.1224,35.962,,,,,,,,,QC'd by SigmaAldrich
37,144205654,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-epa-p1/NCGC00164336-01/37963961,,Activator,44.6684,157.898,,41,Partial curve; high efficacy,-4.35,2.7202,0.9598,157.301,-0.5965,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,161.634,,0.3533,1.2166,0.2413,1.6771,-2.0873,-3.9467,-0.16,-1.7345,-2.3697,-2.6594,0.0567,1.855,,19.8453,50.1069,161.634,,,,,,,,,QC'd by SigmaAldrich
38,17388798,15277,COC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OC)[O-],Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08582962-01/37961947,,Activator,1.122,20.2759,,41,Complete curve; partial efficacy,-5.95,2.8473,0.9646,20.5,0.2241,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,23.5549,-0.0834,,-0.187,,0.1349,-0.2299,1.0235,0.3627,1.925,6.2698,16.2296,,22.4727,22.301,15.6389,19.2658,23.5549,,,,,,,,,QC'd by NIEHS/NTP
39,17388816,7243,C1=CC=C(C(=C1)N)N,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07935832-01/37961788,,Activator,39.8107,197.004,,41,Partial curve; high efficacy,-4.4,2.5334,0.9931,199.262,2.2573,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,190.179,-0.3297,,1.188,,-0.2071,-0.0137,-0.5025,1.1265,0.4099,1.6223,1.7472,,6.2275,14.5518,36.3446,113.229,190.179,,,,,,,,,QC'd by NIEHS/NTP
40,17388880,7472,CN(C)C1=CC=C(C=C1)N,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07981244-01/37962396,,Activator,44.6684,103.807,,41,Partial curve; high efficacy,-4.35,2.7202,0.9751,105.434,1.6271,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,105.553,-0.3249,,0.8649,,0.5272,0.3853,0.0237,0.4114,-0.4102,0.0737,0.8273,,3.6297,8.0319,20.4403,51.088,105.553,,,,,,,,,QC'd by NIEHS/NTP
41,17389030,7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07985399-01/37961711,,Activator,12.5893,24.3614,,41,Complete curve; partial efficacy,-4.9,1.6259,0.9785,25,0.6386,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,26.0672,0.4126,,0.9954,,-0.3012,0.4521,0.6839,0.4473,1.6614,1.3027,1.4074,,3.9702,8.8057,19.2813,19.0313,26.0672,,,,,,,,,QC'd by NIEHS/NTP
42,17389064,8689,C1=CC=C(C=C1)NN=NC2=CC=CC=C2,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB08013606-01/37961775,,Activator,12.5893,63.5573,,41,Partial curve; partial efficacy,-4.9,0.6,0.977,62.2984,-1.2589,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,51.8576,-0.4269,,0.0047,,-0.4409,0.8428,0.5868,3.5004,3.8393,10.8894,15.6378,,20.3349,27.0283,37.4865,35.0615,51.8576,,,,,,,,,QC'd by NIEHS/NTP
43,17389067,5273621,COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB13681004-01/37961498,,Activator,7.0795,24.5375,,41,Complete curve; partial efficacy,-5.15,1.4641,0.9496,25,0.4625,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,27.7217,-0.0313,,1.6246,,0.5599,0.6372,0.0026,1.5045,0.9707,1.4423,0.2778,,9.2683,14.4074,23.1287,17.9932,27.7217,,,,,,,,,QC'd by NIEHS/NTP
44,17389184,11080,C1=CC=C2C(=C1)C=CC=C2N=C=S,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07981027-01/37962237,,Activator,50.1187,75.4767,,41,Partial curve; partial efficacy,-4.3,1.9673,0.9443,76.4015,0.9248,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,70.4981,-0.3951,,0.0249,,0.7263,-2.3272,0.1652,0.3194,0.1549,0.4631,2.0405,,3.6581,8.0872,16.7048,26.8136,70.4981,,,,,,,,,QC'd by NIEHS/NTP
45,17389197,15588,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)[N+](=O)[O-],Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07930285-01/37961701,,Activator,4.4668,19.2868,,41,Complete curve; partial efficacy,-5.35,1.1,0.9822,19.5,0.2132,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 1,16.1743,-0.6557,,1.2028,,0.7467,0.7641,0.4737,0.0789,0.8564,4.6652,4.8458,,8.7304,13.4072,17.533,17.068,16.1743,,,,,,,,,QC'd by NIEHS/NTP
46,17389225,17818,CC1=C(C=C(C=C1)N)O,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB02509358-01/37961529,,Activator,44.6684,75.0833,,41,Partial curve; partial efficacy,-4.35,2.7202,0.9543,75.2743,0.1911,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,78.9999,-0.6068,,0.346,,-0.6992,0.3345,0.0365,0.8796,0.0546,1.0819,0.6983,,0.3698,2.6603,11.628,29.437,78.9999,,,,,,,,,QC'd by NIEHS/NTP
47,17389292,10332,CC1=CC(=C(C=C1)N)N,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07981464-01/37961766,,Activator,15.8489,77.2015,,41,Partial curve; partial efficacy,-4.8,1.6604,0.9751,80.0878,2.8863,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 1,60.095,-0.6885,,0.9659,,-0.4662,1.3468,0.8915,3.693,3.3219,8.7739,7.6678,,17.4114,21.0506,50.4136,72.1869,60.095,,,,,,,,,QC'd by NIEHS/NTP
48,17389301,41206,CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C,Active,41,http://assay.nih.gov/htsws/rest/display/ahr-ntp-p1/AB07944744-01/37961143,,Activator,10,25.9319,,41,Complete curve; partial efficacy,-5,1,0.9936,26,0.0681,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,24.2873,-0.2553,,1.0643,,-0.1853,0.8197,-0.3599,0.8839,-0.0165,0.7823,4.6299,,8.0298,12.73,17.1066,20.9166,24.2873,,,,,,,,,QC'd by NIEHS/NTP
